@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1,9-10'

@attribute volacid numeric
@attribute citricacid numeric
@attribute residualsugar numeric
@attribute chlorides numeric
@attribute freesulfur numeric
@attribute totalsulfur numeric
@attribute density numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.19,0.26,12.4,0.048,50,147,0.9972,8.9,6
0.47,0.07,1.1,0.035,17,151,0.991,10.5,5
0.38,0.15,4.6,0.044,25,78,0.9931,10.2,6
0.24,0.27,1.4,0.038,31,122,0.9927,10.3,6
0.35,0.03,1.2,0.064,29,120,0.9934,9.1,5
0.26,0.24,6.4,0.04,27,124,0.9903,12.6,7
0.25,0.13,1.2,0.041,81,174,0.992,9.8,5
0.27,0.43,7.8,0.056,48,244,0.9956,9,6
0.3,0.23,4.6,0.061,50.5,238.5,0.9958,9.5,5
0.27,0.28,4.8,0.063,31,201,0.9964,10,5
0.23,0.46,1,0.054,9,72,0.9941,9.1,6
0.23,0.31,2.1,0.046,30,96,0.9926,10.7,8
0.24,0.29,10.1,0.05,21,105,0.9962,9.5,5
0.18,0.36,1.4,0.043,31,87,0.9898,12.7,7
0.32,0.34,1.3,0.042,20,69,0.9912,12,7
0.54,0.28,5.4,0.06,21,105,0.9949,9,5
0.22,0.31,1.4,0.053,34,114,0.9929,10.6,6
0.34,0.2,6.1,0.063,47,164,0.9946,10,5
0.22,0.3,8.2,0.047,42,207,0.9966,9.5,6
0.44,0.62,11.8,0.044,52,152,0.9975,8.7,6
0.25,0.31,13.3,0.05,69,202,0.9972,9.7,6
0.43,0.61,11.8,0.045,54,155,0.9974,8.7,5
0.44,0.62,11.8,0.044,52,152,0.9975,8.7,6
0.39,0.63,11,0.044,55,156,0.9974,8.7,6
0.27,0.43,7.5,0.049,65,243,0.9957,9,5
0.24,0.33,1.7,0.035,47,136,0.99,12.6,7
0.21,0.33,1.8,0.034,48,136,0.9899,12.6,7
0.17,0.32,1.7,0.04,51,148,0.9916,11.5,7
0.26,0.29,12.4,0.044,62,240,0.9969,9.2,6
0.36,0.46,10.5,0.038,4,83,0.9956,10.1,4
0.25,0.37,13.5,0.06,52,192,0.9975,9.1,5
0.21,0.24,12.1,0.05,55,164,0.997,9.4,5
0.25,0.37,13.5,0.06,52,192,0.9975,9.1,5
0.13,0.32,14.4,0.051,34,109,0.9974,9.2,6
0.12,0.32,9.6,0.054,64,162,0.9962,9.4,5
0.23,0.35,16.5,0.04,60,171,0.999,9.1,6
0.33,0.28,1.3,0.051,37,187,0.9927,10.3,5
0.27,0.46,18.75,0.052,45,255,1,8.9,5
0.41,0.34,9.2,0.049,29,150,0.9968,9.1,5
0.31,0.24,3.3,0.041,25,143,0.9914,11.3,6
0.14,0.4,1.7,0.035,16,85,0.9911,11.8,6
0.32,0.48,13.3,0.06,57,196,0.9982,9.2,5
0.36,0.04,5.7,0.046,21,87,0.9934,10.2,5
0.16,0.31,6.85,0.059,31,131,0.9952,9.7,5
0.19,0.28,5,0.058,14,146,0.9952,9.1,6
0.13,0.47,1.6,0.092,40,158,0.9928,9.8,6
0.39,0.23,7,0.033,29,126,0.994,10.5,5
0.24,0.32,7.6,0.038,48,203,0.9958,9.7,7
0.3,0.56,2.8,0.044,47,179,0.9924,10.9,7
0.3,0.56,2.7,0.046,46,184,0.9924,10.9,6
0.24,0.32,7.6,0.038,48,203,0.9958,9.7,7
0.425,0.4,13.1,0.038,59,241,0.9979,9,5
0.24,0.27,15.8,0.035,46,188,0.9982,9.2,5
0.27,0.22,8.1,0.034,55,203,0.9961,8.9,5
0.27,0.31,15.7,0.036,44,179,0.9979,9.6,5
0.23,0.4,1.2,0.027,36,121,0.992,10.7,6
0.37,0.67,10.5,0.045,49,155,0.9975,8.7,5
0.28,0.39,1.9,0.029,18,79,0.9923,11.8,6
0.31,0.34,2.2,0.045,20,77,0.9927,10.2,5
0.37,0.67,10.5,0.045,49,155,0.9975,8.7,5
0.21,0.4,1.2,0.039,38,107,0.992,10.8,6
0.2,0.4,2,0.037,19,87,0.9921,11.2,6
0.255,0.37,1.1,0.04,37,114,0.9905,10.9,6
0.16,0.27,1.4,0.044,53,168,0.9918,10.1,6
0.595,0.14,5.2,0.058,15,97,0.9951,9,4
0.25,0.3,4.1,0.054,23,116,0.994,9.4,6
0.22,0.38,8,0.043,46,152,0.9934,11.5,7
0.18,0.46,10.2,0.055,58,135,0.9968,9.9,6
0.25,0.3,4.1,0.054,23,116,0.994,9.4,6
0.18,0.41,1.2,0.048,41,97,0.9919,10.4,5
0.23,0.4,7.5,0.049,12,76,0.9966,9.7,6
0.24,0.42,14,0.066,48,198,0.9979,8.9,6
0.32,0.24,1.5,0.036,38,124,0.9898,12.4,7
0.44,0.04,1.4,0.036,43,119,0.9894,12.1,8
0.22,0.56,14.5,0.055,27,159,0.998,9.1,5
0.24,0.35,13.1,0.05,64,205,0.997,9.5,5
0.23,0.36,13,0.051,72,177,0.9972,9.8,5
0.27,0.46,8.7,0.048,39,197,0.9974,9.6,6
0.42,0.48,9.85,0.034,5,110,0.9958,10,5
0.48,0.37,0.8,0.037,4,100,0.9902,11.4,4
0.22,0.43,4.55,0.038,31,130,0.9918,11.5,7
0.23,0.4,7.5,0.04,50,151,0.9927,11.4,6
0.32,0.47,5.1,0.044,19,65,0.991,12.6,4
0.23,0.3,12.9,0.054,57,170,0.9972,9.4,5
0.25,0.32,5.5,0.049,41,176,0.995,9.2,6
0.33,0.31,5.5,0.048,42,173,0.9951,9.3,6
0.34,0.15,1.2,0.053,61,183,0.9936,9.2,5
0.28,0.4,22,0.048,48,167,1.001,8.7,5
0.27,0.4,14,0.05,64,227,0.9979,9.6,6
0.26,0.56,11.9,0.043,64,226,0.997,9.3,5
0.29,0.56,11.9,0.043,66,230,0.9972,9.3,5
0.24,0.41,9.4,0.04,49,166,0.9954,9.9,6
0.3,0.23,4.2,0.038,42,119,0.9924,11,5
0.53,0.35,3.8,0.034,26,109,0.9906,12.7,8
0.28,0.4,22,0.048,48,167,1.001,8.7,5
0.28,0.36,8,0.045,28,123,0.9928,11.4,6
0.15,0.34,5.1,0.055,34,125,0.9942,9.6,5
0.29,0.44,3.6,0.2,75,181,0.9942,9.1,5
0.29,0.44,3.6,0.197,75,183,0.9942,9.1,5
0.26,0.24,7.8,0.052,54,214,0.9961,8.9,5
0.26,0.24,7.8,0.052,54,214,0.9961,8.9,5
0.27,0.26,16.1,0.049,55,196,0.9984,9.3,5
0.32,0.24,13.1,0.05,52,204,0.998,8.8,5
0.54,0.32,13.2,0.05,53,236,0.9973,9.6,5
0.26,0.34,13.9,0.034,39,134,0.9949,12,6
0.28,0.35,2.3,0.053,36,114,0.9924,10.2,4
0.21,0.5,11.6,0.042,45,153,0.9972,8.8,5
0.57,0.29,2.2,0.04,15,77,0.9938,10.2,5
0.4,0.31,0.9,0.048,23,170,0.993,9.5,6
0.245,0.25,9.7,0.032,12,68,0.994,10.5,5
0.18,0.38,1.4,0.038,35,111,0.9918,11.2,7
0.13,0.29,5.3,0.051,31,122,0.9944,9.7,6
0.26,0.24,9.2,0.044,55,152,0.9961,9.4,5
0.28,0.24,17.5,0.044,60,167,0.9989,9.4,5
0.23,0.36,7,0.036,43,161,0.9938,11,5
0.685,0.21,9.5,0.07,33,172,0.9971,9.1,6
0.25,0.25,1.4,0.03,35,105,0.9912,11.1,7
0.19,0.3,0.8,0.043,33,144,0.9936,9.1,6
0.495,0.22,1.8,0.046,31,140,0.9929,10.4,6
0.24,0.41,17.8,0.046,39,145,0.9998,8.7,5
0.17,0.32,2.4,0.048,41,200,0.9938,9.7,6
0.25,0.32,10.3,0.041,66,272,0.9969,9.1,6
0.17,0.32,2.4,0.048,41,200,0.9938,9.7,6
0.24,0.41,17.8,0.046,39,145,0.9998,8.7,5
0.64,0.08,9.7,0.062,26,142,0.9972,8.9,4
0.28,0.4,7.8,0.041,38,194,0.9976,9.6,6
0.23,0.38,14.3,0.058,55,194,0.9979,9,6
0.23,0.38,14.3,0.058,55,194,0.9979,9,6
0.23,0.38,14.3,0.058,55,194,0.9979,9,6
0.23,0.38,14.3,0.058,55,194,0.9979,9,6
0.25,0.21,15.55,0.039,28,159,0.9982,9.6,6
0.32,0.23,13.7,0.05,49,197,0.9985,8.7,5
0.31,0.26,7.8,0.031,23,90,0.9944,10.4,5
0.4,0.56,11.2,0.043,40,142,0.9975,8.7,5
0.18,0.36,2,0.038,20,249.5,0.9923,11.3,6
0.21,0.27,2.1,0.03,26,139,0.99,12.6,7
0.2,0.27,1.4,0.031,12,77,0.9905,10.9,7
0.41,0.14,10.4,0.037,18,119,0.996,10,5
0.26,0.21,16.2,0.074,41,197,0.998,9.8,3
0.4,0.56,11.2,0.043,40,142,0.9975,8.7,5
0.24,0.44,3.5,0.029,5,109,0.9913,11.7,3
0.24,0.39,1.5,0.054,37,158,0.9932,9.3,6
0.35,0.3,5.7,0.035,8,97,0.9927,11,7
0.35,0.3,5.7,0.035,8,97,0.9927,11,7
0.36,0.38,0.9,0.037,3,75,0.9904,11.4,4
0.115,0.35,5.4,0.048,36,108,0.9939,10.2,6
0.29,0.4,19.45,0.043,36,156,0.9996,8.9,5
0.28,0.4,8.2,0.036,15,95,0.9944,10.2,5
0.29,0.4,13.6,0.045,66,231,0.9977,9.6,6
0.29,0.4,19.45,0.043,36,156,0.9996,8.9,5
0.32,0.26,8.3,0.053,32,180,0.9965,9.2,6
0.58,0.07,6.9,0.043,34,149,0.9944,9.7,5
0.585,0.07,7.1,0.044,34,145,0.9945,9.7,6
0.32,0.26,8.3,0.053,32,180,0.9965,9.2,6
0.6,0.07,7,0.044,33,147,0.9944,9.7,5
0.25,0.26,13.1,0.051,44,148,0.9972,9.3,5
0.29,0.54,10.7,0.046,59,234,0.9966,9.5,5
0.19,0.41,8.9,0.046,51,169,0.9954,9.8,6
0.2,0.41,9.1,0.044,50,166,0.9954,9.8,6
0.26,0.4,1.1,0.042,9,60,0.9915,10.6,5
0.32,0.34,1.2,0.044,14,67,0.9919,10.6,4
0.3,0.49,4.7,0.036,17,105,0.9916,12.4,7
0.24,0.36,2.8,0.034,22,112,0.99,12.6,8
0.31,0.58,5,0.039,36,114,0.9909,12.3,8
0.34,0.3,15.6,0.054,51,196,0.9982,9.3,5
0.32,0.25,7.2,0.056,47,180,0.9961,8.8,5
0.28,0.33,15.7,0.053,51,190,0.9978,9.7,6
0.23,0.39,14.2,0.058,49,192,0.9979,9,7
0.23,0.39,14.2,0.058,49,192,0.9979,9,7
0.23,0.39,14.2,0.058,49,192,0.9979,9,7
0.15,0.31,5.8,0.041,53,155,0.9945,10.5,6
0.28,0.42,19.8,0.066,53,195,1,9.1,5
0.28,0.22,7.3,0.041,26,157,0.9957,9.8,7
0.33,0.27,1.2,0.046,34,175,0.9934,9.4,6
0.39,0.7,10.6,0.045,33,169,0.9976,9.4,5
0.19,0.46,3.8,0.041,82,187,0.9932,11.2,7
0.17,0.44,11.3,0.046,65,146,0.997,10,6
0.41,0,1.6,0.063,36,87,0.9914,10.8,6
0.29,0.21,1.3,0.055,42,168,0.9914,11.1,6
0.41,0.24,6.8,0.057,41,163,0.9949,9.9,6
0.43,0.24,6.7,0.058,40,163,0.995,9.9,5
0.33,0.27,4.9,0.036,30,134,0.9927,10.4,7
0.31,0.26,4.8,0.037,36,148,0.9928,10.4,6
0.36,0.27,2.1,0.035,16,100,0.9917,11.5,7
0.55,0.14,8.3,0.032,35,164,0.9918,12.5,8
0.25,0.41,3.7,0.042,37,149,0.9954,10,6
0.36,0.21,6.7,0.038,51,166,0.9941,10,6
0.34,0.21,6.6,0.04,50,167,0.9941,10,5
0.28,0.6,1.1,0.132,42,127,0.9934,9.1,6
0.25,0.34,4.7,0.031,34,134,0.9927,10.6,6
0.125,0.25,3.3,0.04,10,69,0.9934,10.1,6
0.1,0.24,1.1,0.041,15,65,0.9927,10.3,7
0.24,0.35,7.7,0.031,36,135,0.9938,10.5,5
0.25,0.34,4.7,0.031,34,134,0.9927,10.6,6
0.28,0.44,9.3,0.031,35,137,0.9946,10.4,6
0.27,0.31,5.8,0.057,131,313,0.9946,10.5,5
0.26,0.41,15.15,0.04,38,216,0.9976,10,6
0.34,0.23,6.3,0.039,37,143,0.9944,10,6
0.32,0.35,4.8,0.03,34,101,0.9912,12.5,8
0.28,0.34,9.9,0.038,30,133,0.9954,9.8,5
0.26,0.26,5.7,0.031,12,80,0.9923,10.8,5
0.23,0.3,1.8,0.033,16,91,0.9906,11.8,6
0.23,0.33,1.5,0.036,15,105,0.991,11.2,6
0.27,0.27,12.3,0.045,55,170,0.9972,9.3,6
0.24,0.36,1.5,0.047,17,129,0.9948,10,6
0.31,0.47,3,0.053,46,144,0.9931,10,5
0.29,0.47,3,0.052,47,145,0.993,10,6
0.145,0.33,4.6,0.05,33,131,0.9942,9.6,6
0.34,0.1,1.3,0.031,20,68,0.9906,11.2,7
0.19,0.41,15.6,0.056,75,155,0.9995,8.8,6
0.17,0.45,11.2,0.054,56,137,0.997,10,5
0.12,0.36,2.1,0.044,47,146,0.9914,11.4,7
0.33,0.4,6.85,0.038,32,138,0.992,11.9,7
0.33,0.4,6.85,0.038,32,138,0.992,11.9,7
0.4,0.42,4.4,0.047,38.5,245,0.9937,9.6,6
0.2,0.39,1.4,0.05,19,152,0.994,10.4,6
0.365,0.14,1.2,0.055,24,84,0.9941,8.9,5
0.15,0.3,5.3,0.05,40,127,0.9942,9.7,6
0.22,0.37,14.3,0.063,48,191,0.9978,9,6
0.16,0.4,2.3,0.037,18,102,0.9923,11.4,7
0.26,0.32,3.5,0.028,29,113,0.9912,12.3,7
0.18,0.27,1.5,0.089,40,143,0.9923,10.8,6
0.33,0.21,1,0.053,39,148,0.9927,9.4,6
0.29,0.48,2.3,0.049,36,178,0.9931,10.6,6
0.29,0.48,2.3,0.049,36,178,0.9931,10.6,6
0.905,0.19,0.8,0.048,17,204,0.9934,10,5
0.27,0.27,2.4,0.048,30,149,0.9936,9.2,6
0.33,0.22,1.6,0.027,18,89,0.9893,12.5,7
0.31,0.28,1.5,0.037,12,119,0.9919,10.4,7
0.2,0.44,1.4,0.045,21,98,0.9924,10,7
0.2,0.44,1.4,0.045,21,98,0.9924,10,7
0.28,0.26,12.5,0.046,48,179,0.9975,9,6
0.27,0.27,2.4,0.048,30,149,0.9936,9.2,6
0.36,0.39,3.2,0.027,20,125,0.991,11.3,7
0.33,0.22,1.6,0.027,18,89,0.9893,12.5,7
0.17,0.56,1.5,0.026,24,115,0.9906,10.8,7
0.36,0.32,1.1,0.031,13,66,0.9916,10.6,5
0.55,0.15,9.8,0.031,19,125,0.9957,10.2,6
0.24,0.43,2,0.021,20,69,0.99,12.2,6
0.37,0.51,11.8,0.044,62,163,0.9976,8.8,5
0.27,0.12,1.3,0.04,87,168,0.992,10,5
0.28,0.42,1.8,0.031,30,93,0.9917,11.4,5
0.26,0.27,18.2,0.048,52,168,0.9993,9.4,5
0.35,0.07,1.4,0.069,22,108,0.9934,9.2,5
0.22,0.31,6.3,0.035,33,170,0.9918,12.6,6
0.27,0.12,1.3,0.04,87,168,0.992,10,5
0.28,0.34,4,0.031,40,99,0.9896,12.8,7
0.49,0.24,1.2,0.049,13,125,0.9932,9.4,5
0.14,0.39,1.2,0.044,26,116,0.992,10.3,6
0.25,0.39,18.95,0.038,42,155,0.9999,9,6
0.28,0.36,12.7,0.04,38,140,0.998,9.6,6
0.19,0.39,1.2,0.036,32,85,0.9918,10.5,5
0.25,0.39,18.95,0.038,42,155,0.9999,9,6
0.21,0.27,1.2,0.041,27,99,0.9927,9.8,6
0.21,0.27,1.2,0.041,27,99,0.9927,9.8,6
0.31,0.28,1.6,0.05,33,137,0.9929,10.5,6
0.22,0.31,2.7,0.03,41,136,0.9898,12.7,7
0.21,0.28,8.6,0.045,37,221,0.9954,10.4,6
0.23,0.38,8.3,0.047,47,162,0.9954,10.5,7
0.29,0.5,13.3,0.053,48,194,0.9974,9.4,5
0.21,0.27,1.2,0.051,20,89,0.9936,9.1,5
0.29,0.5,13.3,0.053,48,194,0.9974,9.4,5
0.155,0.34,2.3,0.045,73.5,214,0.9934,9.9,7
0.23,0.36,7.1,0.028,31,104,0.9922,12.1,8
0.2,0.37,6.2,0.027,24,97,0.992,12.2,7
0.28,0.32,2.5,0.042,23,218.5,0.9935,9.8,5
0.16,0.32,1.4,0.035,49,186,0.9906,12.4,8
0.155,0.34,2.3,0.045,73.5,214,0.9934,9.9,7
0.35,0.04,1.2,0.06,23,108,0.9934,9.2,5
0.22,0.37,1.6,0.028,24,102,0.9913,11.6,7
0.25,0.28,2.2,0.026,54,126,0.9898,12.9,8
0.28,0.27,2.6,0.054,30,156,0.9914,12.4,5
0.41,0.24,14,0.048,24,113,0.9982,9.8,6
0.28,0.29,1.6,0.052,34,127,0.9929,10.5,7
0.2,0.25,1.2,0.038,34,128,0.9921,10.1,5
0.46,0.14,2.7,0.042,27,160,0.9931,10.6,7
0.27,0.27,1.6,0.046,32,113,0.9924,10.5,7
0.28,0.29,1.6,0.052,34,127,0.9929,10.5,7
0.23,0.31,1.5,0.022,11,82,0.9892,12.9,7
0.37,0.32,1,0.053,31,218.5,0.9924,9.8,6
0.43,0.35,9.1,0.059,83,249,0.9971,8.5,5
0.21,0.27,8.6,0.056,26,111,0.9956,9.5,5
0.25,0.19,12.4,0.047,50,162,0.9973,9.5,5
0.32,0.21,2.2,0.044,15,68,0.9932,9.4,6
0.39,0.62,11,0.047,66,178,0.9976,8.7,5
0.21,0.58,10,0.081,34,126,0.9962,8.9,5
0.14,0.32,9,0.039,54,141,0.9956,9.4,6
0.32,0.21,2.2,0.044,15,68,0.9932,9.4,6
0.29,0.53,18.15,0.047,59,182,0.9992,9.6,5
0.38,0.34,3.4,0.036,34,200,0.9937,10,5
0.24,0.29,2,0.023,19,86,0.99,12.5,6
0.16,0.22,4.5,0.03,30,102,0.9938,9.4,6
0.24,0.51,11,0.029,55,227,0.9965,9.5,5
0.22,0.28,1.5,0.037,29,115,0.9927,10.5,6
0.55,0.13,1.7,0.073,21,165,0.994,9.2,6
0.47,0.34,8.9,0.043,31,172,0.9964,9.2,5
0.36,0.41,1.3,0.047,45,104,0.9917,10.6,6
0.25,0.24,13.3,0.044,41,137,0.9972,9.5,5
0.47,0.34,8.9,0.043,31,172,0.9964,9.2,5
0.37,0.3,6.6,0.346,79,200,0.9954,9.6,5
0.18,0.38,1.5,0.028,36,117,0.993,9.7,6
0.16,0.37,1.5,0.025,43,117,0.9928,9.7,6
0.28,0.36,1,0.035,8,70,0.9899,12.1,6
0.23,0.39,1.6,0.032,12,65,0.9898,12.7,7
0.19,0.26,8.9,0.039,42,182,0.996,9.9,6
0.2,0.38,4.7,0.04,27,103,0.994,10.7,6
0.335,0.34,1,0.04,13,174,0.992,10,5
0.28,0.54,16.7,0.045,54,200,0.999,9.5,6
0.19,0.58,14.2,0.038,51,164,0.9975,9.6,6
0.3,0.3,2.25,0.038,8,210,0.9937,9.9,6
0.3,0.29,2.25,0.037,8,210,0.9937,9.9,5
0.18,0.31,12.2,0.053,46,140,0.998,8.9,6
0.18,0.31,12.2,0.053,46,140,0.998,8.9,6
0.62,0.28,3.5,0.039,55,152,0.9907,12,6
0.24,0.27,1.9,0.048,40,170,0.9938,10,7
0.27,0.12,1.3,0.041,62,138,0.9921,10,6
0.26,0.36,5.2,0.04,31,141,0.9931,11,6
0.28,0.32,9,0.036,34,115,0.9952,10.3,7
0.13,0.28,1.9,0.05,20,78,0.9918,10.8,6
0.19,0.26,2.1,0.039,8,143,0.9942,9.8,5
0.19,0.26,2.1,0.039,8,143,0.9942,9.8,5
0.25,0.4,1.3,0.038,22,101,0.9901,11.4,6
0.36,0.32,1.7,0.033,22,96,0.9898,11.2,6
0.35,0.37,1,0.038,6,72,0.9902,11.4,5
0.32,0.39,3.3,0.114,24,140,0.9934,9.2,6
0.36,0.02,1.6,0.031,24,104,0.9896,12.2,6
0.1,0.35,4.9,0.048,31,103,0.9947,9.7,6
0.18,0.48,4,0.186,64,150,0.9945,9.3,5
0.25,0.36,13.2,0.067,53,178,0.9976,9,6
0.25,0.36,13.2,0.067,53,178,0.9976,9,6
0.345,0.51,15.3,0.047,54,171,0.9987,9.1,5
0.24,0.3,1.5,0.045,22,61,0.992,10.4,5
0.35,0.35,1.1,0.045,14,167,0.992,9.9,6
0.24,0.41,8.7,0.036,29,148,0.9952,9.9,6
0.28,0.17,13.9,0.047,49,162,0.9983,9,6
0.16,0.22,1.4,0.04,41,149,0.9933,10,6
0.26,0.24,7.2,0.039,38,172,0.9958,9.7,6
0.22,0.42,1.9,0.052,10,87,0.9922,11.8,6
0.18,0.31,1.7,0.044,30,127,0.9928,10.2,7
0.46,0.65,10.4,0.05,76,192,0.9976,8.7,5
0.3,0.51,13.6,0.05,40,168,0.9976,9.6,7
0.25,0.34,1.2,0.026,31,93,0.9916,11.3,7
0.28,0.34,1.6,0.028,32,118,0.9901,12.1,7
0.3,0.51,13.6,0.05,40,168,0.9976,9.6,7
0.28,0.34,1.6,0.028,32,118,0.9901,12.1,7
0.25,0.34,1.2,0.026,31,93,0.9916,11.3,7
0.35,0.71,12.2,0.046,22,160,0.9982,9.4,5
0.41,0.24,1.6,0.049,16,137,0.993,10.4,6
0.21,0.24,12.1,0.044,53,165,0.9969,9.5,5
0.21,0.42,9.1,0.049,31,150,0.9953,9.9,7
0.3,0.22,1.4,0.046,16,135,0.9928,10.4,7
0.51,0.3,4.2,0.066,38,165,0.9945,9.1,5
0.35,0.34,12.4,0.051,6,37,0.9944,11.5,6
0.26,0.5,2.2,0.048,59,153,0.9928,9.8,5
0.26,0.51,2.2,0.05,61,154,0.9929,9.8,6
0.41,0.66,10.8,0.051,77,194,0.9976,8.7,5
0.28,0.29,2.7,0.038,26,107,0.9912,11.6,7
0.2,0.34,2.7,0.032,49,151,0.99,12.7,7
0.22,0.3,1.8,0.047,47,185,0.9933,10.2,6
0.23,0.29,1.8,0.047,47,187,0.9933,10.2,6
0.22,0.33,2.8,0.033,48,153,0.9899,12.7,7
0.38,0.26,6,0.034,42,134,0.9912,12.3,7
0.24,0.22,10.7,0.042,26,81,0.9954,9.7,6
0.25,0.3,1.6,0.046,32,134,0.993,10.1,7
0.24,0.22,10.7,0.042,26,81,0.9954,9.7,6
0.26,0.3,7.9,0.049,38,157,0.9963,8.9,6
0.32,0.25,1.7,0.034,37,136,0.992,10.8,7
0.23,0.33,5.8,0.04,25,136,0.995,9.5,6
0.31,0.5,14.5,0.059,6,148,0.9983,9.1,5
0.2,0.37,1.2,0.037,48,119,0.992,10.9,6
0.41,0.33,10.1,0.043,28,152,0.9968,9.4,5
0.45,0.07,1.1,0.03,10,131,0.9905,10.8,5
0.475,0.06,1,0.03,9,131,0.9904,10.8,5
0.27,0.38,0.9,0.051,7,140,0.9926,10.5,7
0.41,0.33,10.1,0.043,28,152,0.9968,9.4,5
0.29,0.37,4.9,0.034,26,127,0.9928,10.8,6
0.24,0.4,1.4,0.045,31,106,0.9914,10.8,6
0.45,0.07,1.1,0.03,10,131,0.9905,10.8,5
0.475,0.06,1,0.03,9,131,0.9904,10.8,5
0.26,0.49,1.5,0.052,34,134,0.9924,9.8,6
0.26,0.49,1.5,0.052,34,134,0.9924,9.8,6
0.25,0.29,7.5,0.049,38,158,0.9965,9.6,5
0.28,0.25,17.75,0.044,48,161,0.9993,9.5,5
0.24,0.4,4.3,0.032,9,95,0.992,11.1,6
0.23,0.68,11,0.047,37,133,0.9978,8.8,5
0.21,0.68,10.9,0.045,38,133,0.9978,8.7,5
0.21,0.68,10.9,0.045,38,133,0.9978,8.7,5
0.32,0.33,2.4,0.037,18,101,0.9912,11.7,7
0.24,0.27,1.8,0.051,52,190,0.9928,10.8,6
0.19,0.3,1.4,0.057,33,135,0.993,9.6,6
0.46,0.41,16.8,0.084,59,222,0.9993,9,5
0.26,0.43,8.9,0.083,50,171,0.9965,9,5
0.32,0.12,6.6,0.043,22,141,0.9937,10.4,6
0.24,0.34,1.1,0.045,3,64,0.9913,11.4,5
0.36,0.06,1.4,0.066,27,128,0.9934,9.3,5
0.24,0.29,13.3,0.039,49,130,0.9952,11,8
0.56,0.12,10.4,0.096,22,177,0.9983,9.1,4
0.32,0.24,6.2,0.048,31,228,0.9957,9.4,6
0.31,0.33,1.2,0.036,23,99,0.9916,10.5,6
0.23,0.42,18.05,0.05,35,144,0.9999,8.8,5
0.24,0.33,4.8,0.04,16,131,0.9936,10.7,6
0.17,0.28,4.5,0.033,46,150,0.9933,10.9,6
0.14,0.25,4.5,0.027,34,140,0.9934,10.8,6
0.17,0.28,4.7,0.037,39,133,0.9931,10.8,7
0.35,0.14,5,0.046,48,198,0.9937,10.3,5
0.335,0.14,5.8,0.046,49,197,0.9937,10.3,5
0.235,0.29,1.2,0.047,33,127,0.991,11,7
0.24,0.28,11.5,0.05,34,163,0.9969,9.5,5
0.26,0.25,7.8,0.058,44,166,0.9961,9,5
0.33,0.72,1.1,0.061,7,151,0.993,9.5,4
0.105,0.34,12.2,0.05,57,146,0.9973,9,6
