@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M6-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 3 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10_clusterMembership-weka.filters.unsupervised.attribute.ClusterMembership-I8-Wweka.clusterers.EM---I100-N-1-X13-max-1-ll-cv1.0E-6-ll-iter1.0E-6-M1.0E-6-K10-num-slots1-S100'

@attribute pCluster_3_0 numeric
@attribute pCluster_3_1 numeric
@attribute pCluster_4_0 numeric
@attribute pCluster_4_1 numeric
@attribute pCluster_4_2 numeric
@attribute pCluster_4_3 numeric
@attribute pCluster_5_0 numeric
@attribute pCluster_5_1 numeric
@attribute pCluster_5_2 numeric
@attribute pCluster_5_3 numeric
@attribute pCluster_5_4 numeric
@attribute pCluster_5_5 numeric
@attribute pCluster_5_6 numeric
@attribute pCluster_5_7 numeric
@attribute pCluster_5_8 numeric
@attribute pCluster_6_0 numeric
@attribute pCluster_6_1 numeric
@attribute pCluster_6_2 numeric
@attribute pCluster_6_3 numeric
@attribute pCluster_6_4 numeric
@attribute pCluster_6_5 numeric
@attribute pCluster_6_6 numeric
@attribute pCluster_6_7 numeric
@attribute pCluster_6_8 numeric
@attribute pCluster_7_0 numeric
@attribute pCluster_7_1 numeric
@attribute pCluster_7_2 numeric
@attribute pCluster_7_3 numeric
@attribute pCluster_7_4 numeric
@attribute pCluster_7_5 numeric
@attribute pCluster_7_6 numeric
@attribute pCluster_7_7 numeric
@attribute pCluster_7_8 numeric
@attribute pCluster_8_0 numeric
@attribute pCluster_8_1 numeric
@attribute pCluster_8_2 numeric
@attribute pCluster_9_0 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0,0.000533,0.000038,0.000212,0.018896,0.000004,0.051413,0.000001,0,0.000002,0,0.110454,0.001553,0,0.000082,0,0.0031,0.149787,0.000002,0.00033,0.000432,0.292079,0.009622,0.086797,0,0.000016,0,0.003586,0.000075,0,0.159988,0.069698,0.016884,0.006098,0.010592,0.007725,0.000001,7
0,0.000145,0.00001,0.001545,0.006702,0,0.051898,0.000025,0,0.000012,0,0.12291,0.000415,0,0.003293,0.000002,0.000255,0.004616,0.000211,0.000293,0.005542,0.339695,0.176517,0.030794,0,0.000454,0,0.241382,0.003589,0,0.001045,0.000198,0.000042,0.008118,0.000092,0.000196,0,6
0,0.00032,0.000004,0.004815,0.018909,0.000003,0.035393,0,0,0.000002,0,0.097798,0.001223,0,0.099937,0,0.000001,0.003582,0.000003,0.002152,0.038546,0.285926,0.001187,0.205039,0,0.000908,0.000001,0.169336,0.009038,0,0.00324,0.000135,0.000001,0.020152,0.000077,0.000267,0.002004,6
0,0.000085,0.000028,0.005927,0.000391,0.000002,0.002143,0,0,0,0,0.002088,0.002483,0,0.01187,0,0,0.0001,0,0.013282,0.031534,0.004439,0,0.292237,0,0.074919,0.100443,0.160239,0.008919,0,0.025951,0.000004,0,0.26258,0.000057,0.000002,0.000277,7
0,0.001548,0.000002,0.001653,0.01944,0.000003,0.346023,0,0,0.000002,0,0.005161,0.000201,0,0.000842,0.000001,0.004659,0.000019,0,0.002537,0.000344,0.062997,0.413323,0.000314,0,0.014676,0,0.107756,0.000365,0,0.000122,0,0.000264,0.005555,0.000004,0.012189,0,6
0,0.000042,0.000001,0.00101,0.002042,0,0.099058,0.00001,0,0.000009,0,0.016444,0.000059,0,0.000104,0.000005,0.000482,0.000242,0.000061,0.000345,0.000355,0.119737,0.459169,0.002407,0,0.001632,0,0.285069,0.006695,0,0.000055,0.000001,0.000345,0.004584,0.000032,0.000006,0,6
0,0.00051,0.000074,0.000068,0.003287,0,0.009616,0.176207,0.000003,0.000009,0,0.009549,0.002302,0,0,0,0.784924,0.001708,0.000588,0.000444,0.000096,0.000437,0.000999,0.000303,0,0,0,0,0.000001,0,0,0.000001,0.008467,0.000026,0.00038,0,0,5
0,0.001181,0.008722,0.000176,0.070375,0.000034,0.163553,0.002308,0,0.000115,0,0.131083,0.061122,0.000118,0.000127,0.000001,0.006358,0.045793,0.000109,0.003153,0.006729,0.025937,0.001584,0.445466,0,0.000057,0,0.000003,0.000009,0,0.003391,0.003719,0.000137,0.012537,0.005587,0.000519,0,5
0,0.001564,0.000006,0.001127,0.000174,0.000056,0.000015,0,0,0.000193,0,0.118914,0.003063,0,0.000001,0.000004,0.000002,0.635442,0.000026,0.001715,0.000004,0.001148,0.00062,0.01741,0,0,0,0.000009,0.000335,0,0.000173,0.12765,0.000074,0.001276,0.083949,0.005037,0.000013,6
0,0.000173,0,0.000059,0.000243,0.000003,0.000002,0.145941,0.001608,0.000025,0,0.001204,0.000052,0,0,0,0.2531,0.000062,0.013103,0.000079,0.000004,0.000016,0,0.000007,0.557085,0,0,0,0.000001,0,0,0,0.002387,0,0.000001,0.024843,0,5
0,0.003215,0.001572,0.002725,0.104636,0.000076,0.092566,0.092797,0.000212,0.000646,0.000135,0.405923,0.029347,0.008752,0.0074,0.000019,0.009421,0.003033,0.007316,0.003467,0.049064,0.048771,0.003716,0.105612,0.000008,0.000038,0,0.000182,0.000138,0,0.000001,0.000004,0.000003,0.000681,0.000028,0.018497,0,6
0,0.000764,0.000099,0.006904,0.025458,0.000001,0.134377,0.000332,0.000001,0.00007,0,0.263715,0.00246,0.000063,0.064035,0.000011,0.000244,0.000595,0.000476,0.001312,0.072881,0.14313,0.169835,0.029892,0,0.002579,0,0.06888,0.004898,0.000002,0.000015,0.000001,0,0.006145,0.000003,0.000822,0.000002,6
0,0.000163,0.000003,0.005352,0.010302,0.000002,0.021022,0.000067,0.000008,0.00005,0.000003,0.210812,0.000568,0.000222,0.015728,0.000006,0.000046,0.007443,0.004906,0.000921,0.019323,0.347564,0.022077,0.097297,0,0.000062,0,0.204714,0.01825,0,0.000026,0.000132,0.000012,0.003384,0.000115,0.009398,0.00002,7
0.000037,0.003157,0.000269,0.027012,0.000052,0.000004,0.000002,0.000269,0.003562,0.000498,0.000001,0.058251,0.065966,0.786603,0.000087,0,0,0.00121,0.00463,0.02427,0.001109,0.000032,0,0.020753,0,0,0,0.000002,0.001664,0,0,0.000005,0,0.000484,0.000065,0,0.000007,4
0.00005,0.004164,0.000489,0.027244,0.000042,0.00001,0.000001,0.000189,0.003455,0.000893,0,0.049616,0.100426,0.756445,0.000072,0,0,0.000638,0.002241,0.034953,0.000907,0.000012,0,0.016544,0,0,0,0,0.001161,0,0,0.000001,0,0.000416,0.000031,0,0.000002,5
0,0.000511,0.000027,0.004977,0.018616,0.000002,0.129823,0.001979,0.000008,0.000177,0,0.194133,0.000943,0,0.007925,0.000081,0.0018,0.000456,0.002123,0.000899,0.010894,0.173535,0.315533,0.012903,0,0.000592,0,0.110995,0.004636,0,0.000002,0.000001,0.000003,0.001574,0.000004,0.004849,0,5
0,0.000166,0.000005,0.002748,0.003616,0.000001,0.009372,0.000001,0,0.000018,0,0.1788,0.000507,0,0.002426,0.000002,0.000013,0.032579,0.000124,0.000613,0.003322,0.306182,0.068517,0.099659,0,0.000096,0,0.245608,0.013301,0,0.005038,0.005916,0.000036,0.018686,0.00091,0.001704,0.000034,6
0,0.001144,0.000151,0.015664,0.013428,0.000001,0.05143,0,0,0.000044,0,0.275747,0.00439,0,0.128479,0.000005,0.000001,0.000462,0.000003,0.004111,0.101684,0.049322,0.175228,0.048719,0,0.017608,0,0.040545,0.025969,0.000002,0.000106,0.000003,0,0.045673,0.000002,0.000044,0.000033,7
0,0.000268,0.000002,0.000745,0.001037,0.000001,0.005377,0,0,0.000017,0,0.133173,0.000204,0,0.000002,0.000005,0.000405,0.193118,0.00001,0.000279,0.00001,0.123091,0.262522,0.012517,0,0.000003,0,0.039498,0.003238,0,0.014567,0.149295,0.02217,0.004805,0.021274,0.012367,0,6
0,0.000008,0,0.000007,0,0.000091,0,0,0,0.0585,0,0,0,0,0,0.941387,0,0,0,0.000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0.000115,0.000005,0.003451,0.002001,0.000001,0.003985,0.000002,0,0.000003,0,0.093158,0.00086,0.000031,0.003065,0,0.000003,0.055218,0.000749,0.001001,0.007733,0.185134,0.000303,0.313133,0,0.000061,0.000064,0.247705,0.011822,0,0.011443,0.023094,0.000323,0.022151,0.004211,0.00057,0.008608,6
0,0.000136,0,0.001207,0.000998,0.000001,0.00008,0.058667,0.013168,0.000008,0.108644,0.022238,0.000166,0,0.000007,0,0.008554,0.00571,0.685332,0.000236,0.001058,0.004475,0.000008,0.00158,0.06193,0,0,0.000104,0.00025,0.000008,0,0.000002,0.016987,0.000001,0.000133,0.008265,0.000047,6
0,0.000672,0.000003,0.000292,0.000211,0.000001,0.000342,0.314731,0.000068,0.000136,0,0.027829,0.000341,0,0,0.000004,0.608896,0.002372,0.013949,0.000181,0,0.000163,0.001226,0.000033,0.000893,0,0,0,0.000025,0,0,0.000002,0.027386,0,0.000195,0.00005,0,6
0,0.000444,0.00644,0.000014,0.130952,0.000027,0.544293,0.000024,0,0.000008,0,0.015347,0.029408,0,0.000019,0,0.009416,0.011574,0,0.001877,0.002596,0.010798,0.000517,0.194981,0,0.000119,0,0,0,0,0.02401,0.00064,0.000206,0.011343,0.004231,0.000713,0,6
0,0.000211,0.000001,0.000934,0.00209,0.000001,0.013259,0.000027,0,0.000019,0,0.198958,0.000192,0,0.000007,0.000003,0.003578,0.204851,0.000711,0.000211,0.000034,0.190312,0.120902,0.012852,0,0.000001,0,0.037034,0.003253,0,0.001217,0.073122,0.078706,0.001408,0.016794,0.039313,0,6
0,0.024866,0.002751,0.008518,0.024231,0.004732,0.051855,0.009281,0.000029,0.100197,0,0.483043,0.049206,0,0.00037,0.105184,0.000442,0.000013,0.000055,0.012666,0.000273,0.000545,0.040762,0.002387,0,0.000035,0,0.000005,0.000255,0,0,0,0,0.000069,0,0.078231,0,6
0,0.000672,0.000003,0.000292,0.000211,0.000001,0.000342,0.314731,0.000068,0.000136,0,0.027829,0.000341,0,0,0.000004,0.608896,0.002372,0.013949,0.000181,0,0.000163,0.001226,0.000033,0.000893,0,0,0,0.000025,0,0,0.000002,0.027386,0,0.000195,0.00005,0,6
0,0.000147,0.026548,0.000002,0.006104,0.000282,0.004176,0,0,0.000005,0,0.000995,0.194362,0,0,0,0.000001,0.006608,0,0.012319,0.000231,0.000023,0,0.691895,0,0.000005,0.002314,0,0,0,0.007226,0.003555,0,0.014131,0.029067,0.000002,0,5
0,0.000444,0.00644,0.000014,0.130952,0.000027,0.544293,0.000024,0,0.000008,0,0.015347,0.029408,0,0.000019,0,0.009416,0.011574,0,0.001877,0.002596,0.010798,0.000517,0.194981,0,0.000119,0,0,0,0,0.02401,0.00064,0.000206,0.011343,0.004231,0.000713,0,6
0,0.000175,0.000006,0.000493,0.012272,0.000001,0.064883,0.000044,0,0.000002,0,0.095539,0.00043,0,0.000699,0,0.0045,0.047658,0.000227,0.000174,0.002165,0.577386,0.011306,0.04764,0,0.00003,0,0.076921,0.00041,0,0.014105,0.00592,0.023165,0.003555,0.002388,0.007865,0.000041,6
0,0.003153,0.049431,0.000399,0.093392,0.000005,0.57229,0.00011,0,0.000093,0,0.047467,0.09891,0.000002,0.003884,0.000003,0.000276,0.000037,0,0.006556,0.059447,0.001385,0.015285,0.017666,0,0.018824,0,0,0.000007,0.000001,0.00001,0,0,0.011367,0.000001,0,0,5
0,0.000194,0.000028,0.000312,0.004605,0,0.016274,0,0,0,0,0.035498,0.000714,0,0.000105,0,0.000456,0.102364,0.000002,0.000264,0.002153,0.204397,0.001341,0.06675,0,0.000104,0,0.026389,0.000228,0.000001,0.406683,0.05663,0.044926,0.016635,0.011588,0.000305,0.001054,7
0.000008,0.001339,0,0.008701,0.000001,0.000001,0,0.000028,0.000029,0.000385,0.000057,0.107858,0.000746,0,0,0.000001,0,0.730703,0.019273,0.00157,0,0.000007,0.000117,0.000175,0,0,0,0,0.007311,0,0,0.030154,0.000039,0.000017,0.091099,0.000004,0.000374,5
0,0.000068,0,0.002183,0.000089,0,0.000001,0.000887,0.026496,0.00006,0.744948,0.015179,0.000168,0.000814,0.00001,0,0.000004,0.001385,0.202692,0.000346,0.000697,0.000519,0.000002,0.00233,0.000005,0,0,0.000035,0.000973,0,0,0.000001,0.000005,0.000001,0.000013,0.000067,0.00002,6
0.000002,0.000518,0.000019,0.017846,0.0009,0,0.000114,0.002088,0.012594,0.000034,0.000919,0.058516,0.00399,0.782714,0.002928,0,0.000003,0.000301,0.034252,0.003141,0.058718,0.002294,0.000008,0.013163,0,0.000004,0,0.00045,0.004326,0.000008,0,0,0,0.000078,0.000003,0,0.000069,5
0.000003,0.003347,0.000002,0.159891,0.00077,0,0.000604,0.000001,0.000008,0.000003,0,0.006841,0.0034,0.000002,0.312349,0,0,0,0,0.028615,0.455718,0.000009,0.001481,0.000007,0,0.011613,0,0.000001,0.014592,0.000612,0,0,0,0.000131,0,0,0,5
0,0.011273,0,0.02474,0.153273,0.00001,0.093677,0.000001,0,0.00001,0,0.132794,0.002724,0,0.548882,0.000009,0.000027,0.00001,0,0.010291,0.003569,0.015897,0.00058,0.00078,0,0.000015,0,0.000112,0.001297,0,0,0,0,0.000028,0,0,0,6
0,0.000156,0.000012,0.002711,0.012274,0,0.090434,0,0,0,0,0.011305,0.000326,0,0.184647,0,0.000011,0.000042,0.000001,0.001112,0.291885,0.070095,0.058694,0.006266,0,0.084694,0,0.151365,0.003095,0.002169,0.000142,0,0,0.028403,0.000001,0.000131,0.000031,8
0,0.000514,0.000009,0.000088,0.01736,0.000012,0.063617,0.048703,0.000001,0.000022,0,0.01955,0.000903,0,0.000005,0.000001,0.814464,0.001202,0.000418,0.00028,0.00006,0.009446,0.001454,0.001226,0.000015,0,0,0.000008,0.000003,0,0,0.000001,0.016032,0.000021,0.000141,0.004445,0,5
0,0.000183,0,0.000402,0.002023,0.000001,0.001818,0,0,0,0,0.046582,0.000114,0,0.000006,0,0.000031,0.307535,0,0.000303,0.000043,0.171973,0.01163,0.02483,0,0.000002,0,0.019715,0.001748,0,0.031091,0.316203,0.022242,0.003333,0.0291,0.009072,0.00002,7
0,0.00078,0.000122,0.004093,0.008056,0,0.01367,0,0,0,0,0.003683,0.001786,0,0.191083,0,0,0.000008,0,0.006246,0.419397,0.004948,0.000347,0.006959,0,0.278909,0.000018,0.010298,0.000944,0.003871,0.000115,0,0,0.042354,0,0.000149,0.002164,7
0,0.000576,0.293485,0.000014,0.067588,0.000466,0.078842,0.000027,0,0.000279,0,0.003035,0.448276,0.002762,0.000129,0,0.000002,0.000006,0,0.019713,0.0258,0.000008,0.000005,0.05685,0,0.000351,0,0,0,0,0,0,0,0.001774,0,0.000009,0,5
0,0.000061,0.000002,0.00565,0.000623,0,0.002169,0,0,0,0,0.00069,0.000185,0,0.274237,0,0,0,0,0.004388,0.45268,0.00006,0.001934,0.000128,0,0.141912,0,0.000116,0.006913,0.103883,0,0,0,0.004367,0,0,0.000001,6
0,0.001936,0.000665,0.002153,0.011528,0.000038,0.00423,0.042865,0.000289,0.000538,0.077698,0.408453,0.026433,0.021328,0.000211,0.000003,0.001953,0.099912,0.042452,0.002982,0.004509,0.024314,0.000505,0.214588,0,0.000001,0,0.000074,0.00021,0,0.000006,0.002929,0.000267,0.001061,0.003818,0.002048,0.000001,5
0,0.000097,0.000001,0.00103,0.001361,0,0.000457,0.046954,0.001998,0.000008,0.55293,0.034454,0.000165,0.000001,0.000025,0,0.010416,0.00564,0.308529,0.000153,0.00185,0.017549,0.000247,0.002622,0.00118,0,0,0.000994,0.000431,0.000003,0,0.000008,0.010413,0.000007,0.000126,0.000346,0.000005,6
0.000002,0.000797,0.000007,0.006532,0.0017,0.000048,0.000013,0.026082,0.309768,0.000074,0.000189,0.035289,0.003552,0.000703,0.000099,0,0.000091,0.001873,0.557376,0.003264,0.007539,0.00153,0,0.02295,0.01879,0,0.000091,0.000029,0.00029,0,0,0,0.000105,0.000001,0.000029,0.001048,0.000138,6
0.000001,0.000124,0,0.00112,0.000029,0,0,0.009495,0.026398,0.000014,0.360209,0.011981,0.000117,0,0,0,0.00031,0.007423,0.580244,0.000195,0.000029,0.000055,0,0.000157,0.000178,0,0,0,0.000217,0,0,0.000004,0.001535,0,0.000143,0.000009,0.000012,6
0.000002,0.000642,0.000004,0.005114,0.001088,0.00004,0.000006,0.020142,0.275842,0.000077,0.000451,0.032488,0.002464,0.000222,0.000039,0,0.000081,0.002637,0.618578,0.002382,0.003552,0.001123,0,0.016664,0.014541,0,0.000035,0.000017,0.000255,0,0,0.000001,0.000147,0,0.000041,0.001203,0.000123,5
0.000002,0.000797,0.000007,0.006532,0.0017,0.000048,0.000013,0.026082,0.309768,0.000074,0.000189,0.035289,0.003552,0.000703,0.000099,0,0.000091,0.001873,0.557376,0.003264,0.007539,0.00153,0,0.02295,0.01879,0,0.000091,0.000029,0.00029,0,0,0,0.000105,0.000001,0.000029,0.001048,0.000138,6
0.000001,0.000371,0,0.004662,0.000742,0.00002,0.000003,0.007051,0.214031,0.000059,0.000417,0.031864,0.000813,0.000018,0.000021,0,0.000064,0.004109,0.712459,0.001394,0.00148,0.0014,0,0.009265,0.007526,0,0.000002,0.000023,0.000481,0,0,0.000001,0.000301,0,0.000057,0.00116,0.000205,6
0.000005,0.000089,0,0.003689,0.000005,0,0,0.000182,0.062484,0.000119,0.469941,0.010231,0.000101,0,0,0,0,0.007799,0.441807,0.000588,0.000018,0.000024,0,0.00038,0,0,0,0.000001,0.002269,0,0,0.000005,0.000016,0,0.000197,0.000008,0.000039,5
0,0.000054,0,0.00042,0.000019,0,0.000008,0,0,0,0,0.014622,0.000076,0,0,0,0,0.298422,0.000002,0.000188,0.000004,0.001265,0.000093,0.004356,0,0,0,0.000257,0.002096,0,0.000458,0.616436,0.000678,0.00087,0.05606,0.000214,0.003401,7
0,0.000046,0,0.000468,0.00002,0,0.000009,0,0,0,0,0.015073,0.000055,0,0,0,0,0.319234,0.000002,0.000207,0.000003,0.001172,0.000167,0.00339,0,0,0,0.000196,0.003679,0,0.000195,0.591661,0.000576,0.000731,0.060882,0.000307,0.001927,7
0,0.000058,0,0.001684,0.000241,0.000001,0.000248,0,0,0.000005,0,0.076098,0.000111,0,0.000006,0,0.000003,0.429671,0.000701,0.00044,0.000061,0.022767,0.001705,0.022277,0,0,0,0.004791,0.020585,0,0.000159,0.353665,0.002678,0.001578,0.05681,0.003158,0.000497,7
0.00001,0.000812,0,0.002008,0.000009,0.000011,0,0.011387,0.126213,0.000161,0.015136,0.01666,0.000443,0,0,0,0.000131,0.01985,0.802671,0.000756,0.000002,0.000001,0,0.000054,0.000742,0,0,0,0.000094,0,0,0.000003,0.00027,0,0.000326,0.002232,0.000018,6
0.000004,0.098796,0,0.01093,0.551823,0.000009,0.012262,0.000037,0.000021,0.000001,0,0.1131,0.069531,0,0.002652,0,0.001716,0.00211,0.000002,0.113235,0.000165,0.004551,0,0.002451,0,0,0,0,0.000013,0,0,0,0.015766,0.000001,0.000825,0,0,4
0,0.000407,0,0.001135,0.000648,0.000013,0.000001,0.046659,0.068533,0.000106,0.00239,0.026862,0.000325,0,0,0,0.004558,0.006523,0.688257,0.000404,0.00014,0.000524,0,0.000983,0.127881,0,0,0.000001,0.00006,0,0,0.000001,0.003019,0,0.000057,0.02051,0.000002,5
0,0.001127,0.000003,0.001061,0.000551,0,0.000392,0.35685,0.00034,0.000108,0.000015,0.099885,0.000788,0,0,0.000002,0.381879,0.017083,0.075962,0.000363,0.000008,0.000932,0.002169,0.00019,0.000122,0,0,0.000002,0.00014,0,0,0.00004,0.059114,0.000002,0.000871,0.000001,0,5
0,0.000407,0,0.001135,0.000648,0.000013,0.000001,0.046659,0.068533,0.000106,0.00239,0.026862,0.000325,0,0,0,0.004558,0.006523,0.688257,0.000404,0.00014,0.000524,0,0.000983,0.127881,0,0,0.000001,0.00006,0,0,0.000001,0.003019,0,0.000057,0.02051,0.000002,5
0,0.000363,0,0.000137,0.00024,0.000007,0.000688,0.111892,0.000016,0.000051,0,0.004471,0.000064,0,0,0.000003,0.763814,0.000107,0.001973,0.000114,0,0.000128,0.000386,0.000006,0.052525,0,0,0.000001,0.000007,0,0,0,0.025172,0,0.000015,0.037819,0,6
0.000001,0.000598,0,0.008212,0.000709,0.000001,0.000424,0.022496,0.003195,0.000543,0.000122,0.220684,0.000286,0,0,0.000038,0.019075,0.041039,0.595164,0.001223,0.000028,0.008245,0.012419,0.00116,0.000063,0,0,0.00042,0.016561,0,0,0.000121,0.044034,0.000008,0.002107,0.001022,0,5
0.000002,0.000273,0,0.003205,0.000298,0,0.000001,0.057773,0.157777,0.000004,0.000215,0.002825,0.000104,0,0.000001,0,0.007316,0.000307,0.731553,0.000914,0.002335,0.000126,0,0.000064,0.024326,0,0,0.000001,0.000173,0.003563,0,0,0.004969,0,0.000006,0.00183,0.000036,6
0,0.000945,0.000379,0.023314,0.004825,0.000002,0.012162,0.000057,0.000008,0.000023,0,0.163332,0.014029,0.118901,0.105881,0,0.000001,0.000987,0.000873,0.006777,0.219977,0.026522,0.000198,0.201323,0,0.005154,0.000023,0.045566,0.013079,0.000051,0.000082,0.000011,0,0.033505,0.000017,0.000004,0.00199,5
0.00001,0.000967,0,0.004342,0.000373,0.000013,0,0.007212,0.518414,0.000027,0,0.001981,0.000365,0,0,0,0.00143,0.0002,0.441345,0.003454,0.002735,0.000018,0,0.00017,0.000621,0,0,0,0.000032,0.000065,0,0,0.001278,0,0.000001,0.014926,0.000019,5
0,0.001001,0.001204,0.00107,0.026423,0.000007,0.014733,0.114572,0.000641,0.00003,0.000056,0.022512,0.014602,0.595859,0.005159,0,0.002615,0.000121,0.003452,0.002681,0.171498,0.003473,0.000033,0.016465,0.000019,0.000056,0,0.000014,0.000016,0.001129,0,0,0.000001,0.000189,0.000002,0.000365,0,5
0,0.000403,0.000215,0.000358,0.012197,0,0.058245,0.000003,0,0.000001,0,0.082627,0.002676,0,0.000311,0,0.001607,0.067001,0.000006,0.000414,0.004833,0.250598,0.010186,0.104393,0,0.0004,0,0.008631,0.000138,0,0.327086,0.026238,0.006124,0.030267,0.005015,0.000014,0.000012,6
0,0.000126,0,0.000338,0.011058,0,0.04983,0,0,0,0,0.023542,0.000062,0,0.000075,0,0.000541,0.019855,0,0.000258,0.000216,0.646791,0.033289,0.011832,0,0.000043,0,0.125791,0.001043,0,0.018709,0.001635,0.046336,0.003199,0.00219,0.003239,0,6
