@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R12_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A6-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
-0.011094,0.003231,-0.00306,-0.008044,0.00425,-0.011799,6
-0.001697,0.000286,0.006968,-0.003383,0.018281,-0.026781,5
-0.003918,-0.001028,0.005381,0.017704,-0.018897,0.011213,7
-0.025786,-0.000744,0.016938,-0.023681,0.031117,0.010318,5
-0.00248,0.01292,-0.010174,0.02709,0.033793,0.005824,6
0.001469,0.033959,-0.001662,0.009507,0.020975,0.006374,5
0.027979,0.046403,0.017535,0.012435,-0.000171,-0.006177,5
-0.009345,-0.005922,-0.026518,-0.026733,-0.000394,-0.033519,6
0.003073,0.006104,0.014542,-0.014188,-0.007775,-0.013434,8
0.012129,-0.013356,-0.012508,-0.007958,-0.004192,-0.01162,5
-0.015112,-0.000185,0.008982,-0.00726,-0.021897,0.004024,7
-0.001715,0.004307,0.01177,-0.011686,-0.024494,-0.010015,7
0.009036,-0.006155,-0.001593,-0.006593,0.007563,-0.025214,5
0.006031,0.017647,0.0172,-0.017001,-0.007318,-0.011629,6
-0.005069,0.002809,-0.002448,-0.004989,0.010302,0.004212,5
0.011481,0.024366,-0.007341,0.001666,0.008001,0.005652,6
0.009468,-0.013663,-0.003042,-0.015859,0.015181,0.002331,6
0.009796,-0.000217,0.006115,-0.006864,0.012634,0.025041,6
0.008185,-0.014062,-0.002982,-0.015992,0.016418,0.003618,5
0.009468,-0.013663,-0.003042,-0.015859,0.015181,0.002331,6
0.005051,-0.013339,-0.004028,-0.017417,0.017713,0.003379,6
-0.00728,0.008192,-0.000232,0.015442,0.038646,0.012357,5
-0.019758,0.007338,0.010989,-0.001578,-0.010586,0.015893,7
-0.019934,0.006788,0.011357,-0.002195,-0.010389,0.016484,7
-0.018022,0.011289,0.003966,-0.013719,-0.002582,0.011381,7
-0.000537,0.003511,-0.014193,0.009445,0.025286,0.022738,6
0.002157,-0.013147,-0.047715,-0.02198,-0.025087,-0.007917,4
0.005086,-0.008233,-0.015805,-0.001342,0.015517,0.014333,5
0.017827,-0.006143,0.015285,-0.002904,0.011848,0.007359,5
0.005086,-0.008233,-0.015805,-0.001342,0.015517,0.014333,5
0.024042,-0.0179,-0.003922,-0.017525,-0.005703,-0.002489,6
0.014316,0.006432,0.014684,-0.027775,0.006329,0.010106,5
0.022214,-0.010019,0.001862,-0.015521,0.006027,0.017788,6
-0.006798,0.026384,-0.001609,0.006754,0.01035,-0.003064,5
0.020871,0.005727,-0.026815,0.024742,0.015415,0.023948,5
0.01452,-0.0001,-0.005017,0.002917,0.008408,-0.009988,5
-0.002718,0.008428,0.006649,0.020212,-0.001401,-0.004503,6
-0.009451,-0.001414,-0.00041,0.001025,-0.016249,-0.010121,6
0.005516,-0.005856,-0.010923,-0.003624,0.015574,0.017065,5
0.006764,-0.014479,0.010152,0.003994,0.000063,-0.018989,5
0.009083,0.004895,-0.004118,-0.012321,-0.001621,-0.007908,5
0.011097,0.012047,-0.011021,0.007264,0.007124,-0.02277,6
-0.010989,0.005984,0.00292,0.003435,0.019431,-0.009925,6
-0.000748,-0.003448,-0.009142,-0.003533,-0.004832,-0.001568,5
0.015404,0.025247,0.009038,0.0028,0.009113,0.005729,7
-0.007472,0.015444,0.01215,0.010549,0.010087,0.005405,7
-0.007098,0.017757,0.011255,0.012495,0.010244,0.005381,6
0.015404,0.025247,0.009038,0.0028,0.009113,0.005729,7
0.014312,0.011731,-0.002586,0.011969,0.022448,0.018164,5
0.025681,-0.001459,-0.001568,0.00532,0.006881,0.011952,5
0.003785,0.009119,-0.001259,-0.002013,0.023439,0.00468,5
0.026565,-0.00023,-0.000215,0.003694,0.000242,0.01343,5
-0.017254,0.006027,-0.010548,-0.021146,-0.003191,-0.003506,6
0.00924,-0.008091,-0.003206,-0.014455,0.015217,-0.000687,5
-0.005571,0.007415,-0.005138,-0.018503,-0.026928,-0.006895,6
0.002135,-0.006523,0.010676,-0.00655,-0.001458,-0.024809,5
0.00924,-0.008091,-0.003206,-0.014455,0.015217,-0.000687,5
-0.009709,0.008135,0.001172,-0.027245,-0.007998,-0.004998,6
-0.008474,0.003418,-0.010229,-0.017079,-0.017785,-0.010092,6
-0.025361,-0.015936,0.002351,0.0055,0.012638,-0.007066,6
-0.012694,0.00432,0.01791,0.006879,0.024929,-0.003362,6
0.015762,-0.002942,0.003225,-0.003948,0.004349,-0.030409,4
-0.009321,-0.01365,-0.012798,0.001871,0.014194,-0.019782,6
-0.009756,0.000093,-0.009638,-0.007416,-0.009796,0.020623,7
0.002498,-0.010707,0.001901,-0.027437,0.00163,0.012067,6
-0.009321,-0.01365,-0.012798,0.001871,0.014194,-0.019782,6
-0.014139,-0.006332,0.005749,-0.022446,0.003368,-0.009836,5
0.014989,-0.003179,-0.013976,-0.024417,-0.017726,-0.019336,6
0.001605,-0.012952,-0.023736,0.006143,0.02015,0.012871,6
-0.015382,0.002467,0.015973,0.009676,-0.007239,0.006145,7
-0.014458,-0.005326,0.027614,0.01392,0.001837,0.002333,8
0.012757,-0.021083,-0.016734,0.021006,0.012943,-0.001667,5
0.007966,-0.002177,0.001306,-0.000239,0.016512,0.021231,5
0.006008,-0.008932,0.008003,-0.017375,0.010256,0.024576,5
0.005815,0.021341,-0.022313,-0.008405,0.001357,0.008527,6
-0.001835,-0.006993,-0.052663,-0.014091,-0.018973,-0.005879,5
-0.018281,-0.000793,-0.022161,0.010697,-0.010349,-0.015617,4
-0.001301,0.00429,0.009356,0.009134,-0.007252,0.000898,7
-0.01351,-0.009432,-0.000344,0.002651,0.000907,0.018013,6
-0.014664,-0.020408,-0.004618,0.001252,-0.024426,0.002063,4
0.015512,-0.010351,0.013468,0.001039,0.014794,0.010144,5
0.004212,0.009758,0.002438,0.003734,0.018776,-0.007229,6
0.002792,0.007853,0.002913,0.003145,0.018362,-0.006212,6
-0.021444,0.006014,-0.00084,-0.01299,0.031394,-0.001081,5
0.025213,-0.033003,-0.013497,0.004056,0.010009,0.017062,5
0.011852,0.00722,-0.001854,0.003124,0.013771,0.026368,6
0.000592,0.000862,-0.006311,0.00607,0.024289,0.021023,5
-0.000253,0.001237,-0.00606,0.005974,0.025343,0.022395,5
0.003679,-0.002905,0.001584,-0.001018,0.009484,0.008044,6
-0.010226,-0.012332,0.014117,0.004524,0.006313,-0.000923,5
-0.007383,0.003683,0.00616,0.006986,-0.022579,0.007037,8
0.025213,-0.033003,-0.013497,0.004056,0.010009,0.017062,5
-0.008767,-0.015914,-0.00864,0.013208,-0.005605,0.005789,6
0.009915,0.004681,0.009196,-0.010223,0.004093,-0.013418,5
-0.023587,-0.010882,0.008452,-0.012039,0.0399,0.005841,5
-0.024785,-0.01152,0.007313,-0.010753,0.040836,0.00618,5
-0.001206,0.008425,-0.006502,0.004454,0.027463,0.005499,5
-0.001206,0.008425,-0.006502,0.004454,0.027463,0.005499,5
0.018276,-0.005934,-0.00366,0.002299,0.010433,0.019141,5
0.010831,-0.000552,-0.010983,0.001137,0.018484,0.01124,5
0.010433,0.011399,-0.010136,0.015004,0.014593,0.021697,5
0.018973,-0.00244,0.008842,0.002444,-0.026672,0.023916,6
-0.002829,-0.003781,0.017352,-0.000408,0.00993,-0.01467,4
0.01263,-0.013547,0.001019,-0.002282,0.016741,-0.002229,5
0.009307,0.004318,0.008176,-0.012747,-0.0099,-0.026055,5
-0.00036,0.019802,-0.000006,0.017453,0.017978,-0.020913,6
0.019558,-0.022553,0.011701,0.010413,-0.010996,-0.017791,5
-0.003623,0.009681,0.013592,-0.011297,-0.008052,-0.00576,7
0.01434,0.008766,0.009925,-0.011628,-0.000906,-0.013968,6
0.00942,-0.009101,0.018062,-0.003842,0.01698,0.001328,5
0.027708,-0.017143,0.017708,0.000837,0.009187,0.017009,5
-0.014064,-0.003134,-0.012709,0.002252,0.001656,0.0139,5
0.001126,-0.005086,-0.019748,0.007778,0.015564,-0.002663,6
-0.007559,-0.000894,0.016316,-0.003231,-0.000758,-0.008656,7
0.00394,0.017254,0.008841,-0.007843,0.015152,-0.022616,6
0.001234,0.014727,0.010953,0.002645,0.003735,-0.011796,6
0.037575,-0.009165,-0.002172,-0.012543,-0.003039,0.003561,5
0.007594,0.034974,0.009762,0.005085,0.013224,-0.005723,6
0.001745,0.023303,-0.010322,0.010006,0.028038,0.023649,6
0.007594,0.034974,0.009762,0.005085,0.013224,-0.005723,6
0.037575,-0.009165,-0.002172,-0.012543,-0.003039,0.003561,5
0.023431,0.004395,-0.001983,-0.002789,0.003498,-0.013512,4
0.013124,0.030749,-0.014602,-0.012817,-0.002882,0.005335,6
0.011294,-0.005938,-0.009664,-0.00339,0.014708,0.015192,6
0.011294,-0.005938,-0.009664,-0.00339,0.014708,0.015192,6
0.011294,-0.005938,-0.009664,-0.00339,0.014708,0.015192,6
0.011294,-0.005938,-0.009664,-0.00339,0.014708,0.015192,6
0.044382,0.009285,0.008915,0.007785,-0.010319,0.00125,6
0.018453,0.003787,-0.009813,-0.004528,0.012613,0.009236,5
0.005993,-0.009125,-0.008156,-0.015509,-0.01387,-0.007518,5
0.01284,-0.012441,-0.004741,-0.00861,0.012607,-0.005656,5
0.002497,0.052603,-0.005642,0.048863,0.004186,0.003639,6
-0.014474,0.011458,-0.000168,0.016589,-0.014423,0.007507,7
-0.003928,-0.00971,0.009245,0.011242,-0.002389,-0.024536,7
0.024961,-0.002865,0.005518,0.010132,-0.007084,-0.011367,5
0.013957,0.00326,-0.029471,-0.002708,-0.005413,0.02295,3
0.01284,-0.012441,-0.004741,-0.00861,0.012607,-0.005656,5
0.014174,0.015397,0.012413,0.022113,-0.019539,-0.015131,3
-0.006073,0.004909,0.007783,0.009232,0.025845,-0.017575,6
0.007169,-0.004228,-0.000286,0.015304,-0.011815,-0.015438,7
0.007169,-0.004228,-0.000286,0.015304,-0.011815,-0.015438,7
-0.004588,-0.006633,0.005681,0.019627,-0.008374,-0.025088,4
0.006522,-0.000178,0.009585,-0.016468,-0.003889,-0.007985,6
0.021431,-0.029203,-0.018301,0.008617,0.0072,0.008869,5
0.008046,-0.013363,-0.007663,0.002089,-0.007349,-0.013653,5
0.005157,0.004979,-0.007687,0.001886,0.016245,0.028437,6
0.021431,-0.029203,-0.018301,0.008617,0.0072,0.008869,5
0.012485,0.012338,-0.007953,0.006424,0.010163,-0.005167,6
0.011845,-0.000851,0.015561,0.015878,0.013642,-0.010611,5
0.012421,-0.002244,0.016128,0.01472,0.012929,-0.0108,6
0.012485,0.012338,-0.007953,0.006424,0.010163,-0.005167,6
0.01191,-0.002457,0.015837,0.017592,0.014059,-0.011377,5
0.020746,-0.013771,0.011234,0.004365,0.010305,0.000958,5
-0.000858,0.008655,-0.010503,0.009669,0.021834,0.020259,5
0.002832,-0.002147,0.003391,-0.00128,0.012195,0.007351,6
0.00384,-0.002116,0.002587,-0.002805,0.010517,0.007112,6
-0.018127,-0.017556,-0.017915,-0.008758,-0.005903,-0.024115,5
-0.0122,-0.015539,-0.003467,-0.002769,-0.002049,-0.024128,4
0.00186,0.008513,0.002427,0.006235,-0.027479,0.001619,7
-0.014011,0.002202,-0.002081,0.010632,-0.018922,0.004367,8
-0.002264,-0.000484,0.018183,0.006296,-0.015083,0.008013,8
0.019568,-0.003396,-0.003682,0.005501,0.009971,0.016279,5
-0.00197,0.002082,-0.010931,-0.006577,0.021591,-0.001719,5
0.020664,-0.003758,0.000993,0.007051,0.005821,0.01839,6
0.00762,-0.010079,-0.01611,0.00324,0.016307,0.012645,7
0.00762,-0.010079,-0.01611,0.00324,0.016307,0.012645,7
0.00762,-0.010079,-0.01611,0.00324,0.016307,0.012645,7
0.010989,0.012614,0.027469,-0.005864,0.003077,0.004478,6
0.016847,-0.018678,-0.019124,0.002473,0.009349,0.024502,5
0.022866,0.018194,0.00881,0.008096,-0.000525,-0.009917,7
0.001678,0.023238,0.005881,0.005775,0.017782,-0.015765,6
0.00947,0.007623,-0.023789,-0.009604,-0.000997,0.003693,5
-0.019702,0.010545,0.016439,-0.022263,0.010114,0.029069,7
0.004462,-0.009464,0.00589,-0.028071,0.001764,0.018437,6
-0.003298,-0.005013,0.02188,-0.011021,-0.001013,-0.01317,6
-0.011343,0.013811,0.011983,0.013569,0.00955,0.001227,6
-0.000465,0.005461,-0.006593,-0.004371,0.006627,0.002121,6
-0.000601,0.005017,-0.00634,-0.002294,0.007337,0.001275,5
-0.002711,-0.003622,0.002961,0.010566,0.006623,-0.00773,7
-0.004536,-0.000756,0.004151,0.010261,0.009537,-0.003621,6
0.007462,0.011914,0.01576,0.006919,-0.01556,-0.014182,7
0.011974,0.011072,0.025279,0.034096,-0.012963,0.016198,8
0.003844,0.021175,-0.002308,-0.018924,-0.002753,-0.004436,6
0.005067,0.00251,0.018272,0.005126,0.014573,0.002273,6
0.005021,0.003806,0.016745,0.004867,0.013897,0.002096,5
-0.01444,-0.006245,0.000653,-0.013527,0.023366,-0.017898,6
-0.004605,0.000236,0.000394,0.000682,0.001609,-0.0029,6
0.025013,0.008886,0.020685,-0.009289,-0.014465,-0.03147,6
0.022249,0.013437,0.0286,-0.01507,-0.014469,-0.031907,7
0.000854,-0.006861,0.001147,0.003382,0.001354,0.001138,5
-0.004605,0.000236,0.000394,0.000682,0.001609,-0.0029,6
0.003064,-0.009112,-0.00343,0.003358,-0.00008,0.003165,6
-0.0305,0.029674,0.016871,-0.02491,0.038257,0.063368,5
0.009173,0.005169,-0.029741,0.014633,0.00104,0.022626,6
0.004064,0.000375,0.005588,0.001627,0.006871,-0.0048,6
0.000981,0.002579,0.019595,-0.001064,-0.022746,0.007518,8
0.00719,-0.013439,-0.00433,0.007241,0.005341,-0.004554,5
0.006217,-0.016191,0.009261,0.01578,-0.005349,-0.019343,5
-0.005775,-0.000786,0.00733,0.009876,-0.012903,-0.011553,6
-0.001839,0.00574,0.005852,0.010169,-0.007624,-0.016125,6
0.015396,-0.009417,0.01362,0.002839,0.01644,0.007229,6
-0.001855,0.018425,-0.015257,-0.010168,-0.004358,-0.01761,6
0.00111,0.003501,0.024421,0.002818,0.016145,-0.008958,5
0.00074,0.003432,0.024714,0.002444,0.016548,-0.008398,6
0.004402,0.005979,0.000359,-0.011659,0.004366,-0.012063,6
0.000985,-0.006731,0.022787,0.002146,-0.007486,-0.020972,7
0.017219,-0.020921,0.014791,-0.027753,0.014747,0.017427,6
0.006239,-0.009432,0.00143,-0.025279,-0.001611,0.013632,5
-0.006691,0.012525,0.018743,-0.001711,-0.00043,0.004975,7
-0.01599,-0.008545,-0.013185,0.011433,-0.008539,0.013482,7
-0.01599,-0.008545,-0.013185,0.011433,-0.008539,0.013482,7
-0.002067,0.026792,-0.00423,0.036731,0.028845,0.000211,6
-0.017032,0.025477,-0.043354,-0.021041,-0.011265,-0.003978,6
-0.00403,-0.008393,-0.001946,-0.020298,0.011626,-0.031976,5
0.010016,0.006546,0.01152,-0.016861,0.002206,-0.009003,6
0.001499,-0.016542,-0.022194,0.006301,0.019239,0.013091,6
0.008125,0.016654,0.010598,-0.00362,-0.0195,-0.011726,7
0.004181,0.010822,0.02198,0.007249,-0.019096,0.001648,7
0.005128,0.021036,0.024345,-0.002197,0.000071,-0.006125,6
-0.013845,0.00336,-0.003129,-0.00545,0.020901,-0.014162,6
-0.00928,0.024162,-0.010606,-0.001329,0.002033,0.002102,6
-0.00928,0.024162,-0.010606,-0.001329,0.002033,0.002102,6
-0.002822,0.033938,-0.012445,0.029239,0.013324,-0.013785,5
-0.00699,0.006505,-0.010641,-0.003394,0.016238,-0.016844,6
0.001349,0.002378,0.027686,0.020701,-0.016349,-0.009512,7
0.003006,0.011698,0.00144,0.010337,-0.001566,-0.022476,7
-0.006347,-0.000171,-0.005484,-0.011299,0.000752,-0.021341,7
-0.006347,-0.000171,-0.005484,-0.011299,0.000752,-0.021341,7
0.011461,-0.003732,-0.008911,-0.004699,0.012445,0.007545,6
-0.00699,0.006505,-0.010641,-0.003394,0.016238,-0.016844,6
0.00127,0.007375,0.008637,0.016838,-0.006014,-0.009174,7
0.001349,0.002378,0.027686,0.020701,-0.016349,-0.009512,7
0.004573,0.004966,0.024958,0.016793,0.00362,-0.018754,7
-0.010011,-0.0152,0.000347,0.000255,-0.001436,-0.02586,5
0.020776,-0.002087,0.004323,0.013048,-0.006104,-0.009205,6
-0.014383,-0.008558,-0.00069,-0.006431,-0.020905,-0.005241,6
0.009839,-0.011287,0.005748,-0.017451,0.017866,0.007674,5
-0.025823,-0.001278,0.021658,-0.03116,0.02816,0.014193,5
-0.017821,-0.001983,-0.009831,-0.020525,-0.013489,-0.002424,5
0.033636,-0.011985,0.013252,0.003312,0.003655,0.01503,5
0.000654,-0.001944,0.006247,-0.000173,0.014797,-0.030403,5
-0.002618,0.017784,0.001127,0.019654,-0.017778,0.019952,6
-0.025823,-0.001278,0.021658,-0.03116,0.02816,0.014193,5
-0.006089,-0.004887,0.026773,0.00452,-0.017124,0.009828,7
-0.003,0.006596,-0.010671,0.004748,0.010019,-0.028184,5
-0.002705,0.004896,0.008403,0.000846,0.004481,-0.018159,6
0.020877,-0.025638,-0.015576,-0.001017,0.004621,0.012115,6
0.029448,0.005973,0.003534,-0.016927,-0.010418,0.002869,6
-0.009754,-0.005033,0.004665,-0.02027,-0.00226,-0.014511,5
0.020877,-0.025638,-0.015576,-0.001017,0.004621,0.012115,6
-0.007872,-0.001076,-0.00371,-0.017499,0.003749,-0.02035,6
-0.007872,-0.001076,-0.00371,-0.017499,0.003749,-0.02035,6
-0.002381,0.018669,0.001428,-0.012125,-0.003147,-0.007417,6
-0.02203,0.002309,0.002733,0.005738,-0.011308,0.016378,7
0.006878,0.024969,-0.010741,0.020075,0.004231,0.012906,6
0.00949,0.010459,0.007821,-0.006336,-0.002674,0.009934,7
0.00874,-0.005499,-0.009523,0.008862,0.014117,0.013079,5
-0.007082,-0.004322,-0.012913,-0.022049,0.006475,-0.029137,5
0.00874,-0.005499,-0.009523,0.008862,0.014117,0.013079,5
-0.016671,0.02231,0.005221,-0.017757,0.022678,0.015772,7
0.006208,0.00224,0.009767,-0.005616,-0.025575,0.008346,8
0.007922,0.005037,0.010047,-0.002448,-0.028316,0.003543,7
0.000356,0.031119,-0.007838,0.034793,0.019133,-0.010171,5
-0.012083,0.029075,0.013668,0.009395,-0.006169,0.018924,8
-0.016671,0.02231,0.005221,-0.017757,0.022678,0.015772,7
0.002008,0.0009,0.007481,-0.003449,0.013304,-0.030161,5
-0.003455,0.007588,0.00928,-0.001484,-0.013448,-0.008005,7
-0.007615,0.010689,0.033999,-0.004402,-0.015293,0.017323,8
0.000865,0.023223,0.018463,0.022275,-0.012566,0.006149,5
0.037535,-0.003368,0.00849,-0.003911,-0.015273,-0.005254,6
0.006528,0.018225,0.01853,-0.008249,-0.002379,-0.011782,7
-0.007542,0.001212,0.009843,0.002183,0.012875,-0.015263,5
0.006071,0.020914,0.011536,0.016486,0.003179,-0.009519,7
0.002772,0.007234,0.019666,-0.003228,0.001328,-0.015053,7
0.006528,0.018225,0.01853,-0.008249,-0.002379,-0.011782,7
-0.00818,0.000635,0.008201,0.015915,-0.024613,-0.005852,7
-0.002315,0.033392,-0.000445,0.028046,0.021904,-0.009387,6
0.006525,0.016072,0.016657,-0.005385,0.037682,0.017785,5
0.001052,-0.019385,-0.012502,-0.002918,0.005549,-0.011201,5
0.019586,-0.006268,0.01404,0.002023,0.009871,0.005946,5
-0.000465,-0.012901,-0.000919,-0.012067,0.004047,-0.032928,6
0.006327,-0.005057,0.001668,-0.021433,0.019855,0.010388,5
0.002182,-0.027092,-0.006432,0.004418,0.019196,-0.011108,5
0.006964,-0.006296,0.007102,-0.020571,0.008744,0.002894,6
-0.000465,-0.012901,-0.000919,-0.012067,0.004047,-0.032928,6
0.018229,-0.013725,-0.005341,-0.006144,0.003481,0.026192,5
-0.00473,0.020484,-0.005817,0.019666,0.016392,-0.003065,5
-0.009224,-0.001072,0.007377,0.006418,-0.020731,-0.003627,6
0.003289,-0.015609,0.014412,0.003019,0.015692,-0.022949,6
0.000409,0.006635,-0.012021,0.010922,0.020125,0.018166,5
-0.011201,0.000258,-0.001327,-0.004948,0.002753,-0.012173,6
-0.014004,0.005977,-0.021914,0.013447,0.022056,-0.01949,6
0.01353,0.007375,-0.006299,0.007919,0.01013,-0.006151,5
-0.006334,-0.003974,0.025067,-0.010948,0.006636,-0.009873,6
0.025062,-0.01242,0.014171,0.002249,0.004217,0.000036,5
0.01353,0.007375,-0.006299,0.007919,0.01013,-0.006151,5
-0.003221,0.006317,0.021565,-0.012616,0.025826,0.016462,5
0.008866,0.012541,0.021663,-0.014396,0.005441,-0.019683,6
0.00599,0.008249,0.026161,-0.016298,0.00919,-0.017112,6
-0.014979,-0.007773,-0.005491,0.006674,-0.018211,-0.013361,6
-0.009214,-0.001759,0.002555,-0.000067,-0.029082,-0.006571,7
0.004877,0.012428,-0.012905,-0.005768,0.001886,0.009168,6
0.010659,0.007089,0.011161,-0.010826,-0.012437,-0.009928,6
0.000987,0.021875,-0.001338,0.033464,0.014232,-0.021518,5
0.014845,-0.006779,-0.011293,0.002686,0.007818,0.023312,6
0.013063,-0.012596,-0.001271,-0.002942,0.006731,0.013563,6
0.00026,0.031696,-0.018942,0.041591,0.01398,-0.016085,6
-0.000219,0.03186,-0.020144,0.040589,0.013564,-0.015763,5
0.011983,-0.010681,-0.009716,-0.02316,0.005,0.002459,6
0.011983,-0.010681,-0.009716,-0.02316,0.005,0.002459,6
-0.008181,0.007953,0.025701,0.003482,-0.001752,0.015278,6
0.014303,0.033413,0.023577,-0.001409,0.005697,-0.009718,7
-0.016528,-0.001759,0.015842,-0.022039,0.018362,-0.000736,6
-0.002918,0.007704,-0.005102,-0.000045,-0.006887,0.002101,6
0.005499,-0.006136,-0.007734,-0.017176,-0.009828,0.001435,7
0.011081,0.004724,0.023432,-0.005053,-0.010574,-0.022146,6
-0.001496,0.019123,-0.02427,0.003257,-0.000982,-0.020654,5
-0.001496,0.019123,-0.02427,0.003257,-0.000982,-0.020654,5
-0.020719,-0.009417,-0.006544,0.006356,-0.002305,-0.009024,6
-0.020038,-0.02017,0.002494,0.018764,0.006896,-0.013763,6
-0.000248,-0.004706,0.01288,0.016344,-0.009667,-0.024985,5
-0.00578,-0.007138,-0.00342,0.016739,0.023552,-0.022642,6
-0.003788,0.000778,0.024153,0.020687,-0.008688,-0.00705,6
0.021909,0.01038,0.021233,-0.01854,-0.005387,-0.018338,6
-0.016927,-0.014105,0.009755,-0.014008,0.029867,-0.000607,5
0.006381,-0.010598,-0.012112,-0.007865,0.014503,0.011665,6
0.006381,-0.010598,-0.012112,-0.007865,0.014503,0.011665,6
0.015132,-0.007603,-0.01205,-0.018476,0.004041,0.016228,5
0.0029,-0.00834,0.018601,-0.011436,-0.004127,-0.026001,5
0.005545,0.022263,0.004751,0.030329,0.013344,-0.023551,6
0.013398,0.004138,-0.001512,0.004488,0.000152,-0.004329,6
0.020634,-0.007366,0.001513,-0.008286,0.00829,0.006333,6
0.0072,0.024004,0.0194,-0.010264,0.005253,-0.010857,6
0.022191,0.022796,0.013646,0.000535,0.002589,-0.003859,6
-0.000525,0.012445,-0.00469,-0.006961,-0.027032,-0.01083,6
0.008964,0.019491,0.015273,-0.008202,-0.001633,-0.01569,7
-0.000193,-0.005194,0.003197,-0.02335,0.02591,0.015739,5
0.011984,-0.009005,-0.010794,0.004974,0.005447,0.009165,7
-0.027278,-0.003478,-0.023821,-0.030041,-0.013679,-0.000197,7
-0.027562,-0.00275,-0.012304,-0.002367,-0.009658,0.006518,7
0.011984,-0.009005,-0.010794,0.004974,0.005447,0.009165,7
-0.027562,-0.00275,-0.012304,-0.002367,-0.009658,0.006518,7
-0.027278,-0.003478,-0.023821,-0.030041,-0.013679,-0.000197,7
0.012331,0.002382,-0.032176,-0.002838,-0.005,0.000783,5
0.000649,0.012462,0.002516,0.017495,0.004077,-0.019183,6
0.013088,-0.010971,0.011523,0.003483,0.014349,0.007615,5
0.010956,0.000736,-0.002985,0.005355,0.00203,-0.002386,7
