@relation 'german_credit-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R18,38,62_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A59-N200-T1.0E-4'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Source_30 numeric
@attribute Source_31 numeric
@attribute Source_32 numeric
@attribute Source_33 numeric
@attribute Source_34 numeric
@attribute Source_35 numeric
@attribute Source_36 numeric
@attribute Source_37 numeric
@attribute Source_38 numeric
@attribute Source_39 numeric
@attribute Source_40 numeric
@attribute Source_41 numeric
@attribute Source_42 numeric
@attribute Source_43 numeric
@attribute Source_44 numeric
@attribute Source_45 numeric
@attribute Source_46 numeric
@attribute Source_47 numeric
@attribute Source_48 numeric
@attribute Source_49 numeric
@attribute Source_50 numeric
@attribute Source_51 numeric
@attribute Source_52 numeric
@attribute Source_53 numeric
@attribute Source_54 numeric
@attribute Source_55 numeric
@attribute Source_56 numeric
@attribute Source_57 numeric
@attribute Source_58 numeric
@attribute class {good,bad}

@data
0.008447,-0.00115,-0.047468,-0.037039,0.002373,0.042805,-0.019704,-0.012942,-0.031406,-0.087925,0.028831,0.021149,-0.021249,-0.085302,0.018582,0.052887,-0.026284,0.049665,0.035615,0.001663,-0.020101,-0.02869,0.086224,-0.001471,-0.044942,-0.034103,0.060691,-0.000621,0.012604,-0.022167,0.030899,-0.018073,-0.018946,0.013075,0.027564,-0.018058,-0.056429,0.047436,0.016328,-0.038668,0.005749,0.038727,0.034605,-0.012874,-0.008415,-0.030481,-0.071603,0.015933,-0.035199,-0.00974,0.056397,-0.024475,-0.049864,-0.019005,0.055745,-0.038753,-0.0699,0.032633,-0.004326,bad
-0.017459,0.001151,-0.004645,-0.044073,-0.007342,0.019173,0.005759,-0.033759,0.002476,-0.020638,-0.02709,-0.003639,0.040882,0.019087,-0.059838,-0.027768,0.012971,-0.014918,0.008087,-0.054436,-0.002655,0.023684,0.005886,0.001608,-0.016397,-0.026473,-0.050592,-0.007542,0.008262,-0.007066,-0.012928,0.003729,-0.005811,-0.006672,-0.027098,0.020975,0.018265,0.008523,0.029421,-0.0336,0.003863,0.036909,-0.007553,0.037402,-0.013216,-0.022955,-0.024846,0.016557,0.076661,0.001518,0.033212,-0.023116,0.000374,-0.023293,0.042338,-0.015679,-0.015333,0.001235,-0.009526,good
-0.011939,-0.003164,0.023638,0.014474,0.061272,0.007527,-0.007008,-0.030276,-0.015903,0.001431,0.048851,0.013398,-0.030283,-0.009863,0.008817,0.004975,-0.004922,0.002546,-0.011138,-0.021072,-0.010153,-0.036015,0.003582,0.001093,0.036357,-0.043685,0.015036,0.00713,0.009277,-0.008713,-0.007389,0.019707,0.031835,0.004958,0.007163,-0.010154,0.058073,-0.002735,-0.010894,-0.024935,0.045269,-0.022796,-0.040346,0.018437,-0.0111,0.00437,-0.022409,0.003665,0.020709,0.009609,0.00354,0.01709,-0.011425,0.000038,-0.05949,0.015569,0.040086,0.020426,-0.016777,good
0.029294,-0.021423,-0.008269,-0.040659,-0.031933,0.039047,0.030351,-0.006304,0.006384,-0.050996,0.000582,-0.034049,0.049501,0.068181,-0.029443,0.047189,0.012033,0.012409,-0.007264,-0.023113,-0.019345,0.01846,0.054544,-0.011625,-0.022858,-0.005517,-0.067429,0.005666,-0.013636,0.032222,-0.043815,-0.014239,0.005227,0.018376,0.006397,0.009509,0.045855,0.012241,0.001349,-0.045834,-0.015185,-0.018998,-0.001972,0.005026,-0.022816,-0.043718,0.038357,-0.006548,0.030175,0.035058,0.114192,-0.002622,-0.016901,0.020211,0.003005,-0.016113,0.010861,-0.030197,-0.002517,good
0.059717,0.004291,-0.013433,0.075994,0.009826,0.021969,0.005254,0.004259,-0.022371,0.019169,0.008164,-0.009383,-0.003109,-0.019362,-0.020481,0.015112,-0.08484,-0.001865,0.010621,0.01727,-0.037707,-0.030985,0.004084,0.049811,0.032338,0.029272,0.006011,0.016676,0.030043,-0.011786,-0.005302,-0.002899,-0.010991,0.014075,-0.002098,-0.019666,0.025269,-0.001458,0.009862,-0.013486,-0.026147,-0.030851,-0.024755,0.007912,0.018607,0.058925,0.000999,-0.056245,-0.011005,-0.021915,0.059984,-0.041152,0.029261,0.049156,0.020623,-0.000734,-0.024541,-0.058857,-0.003298,good
-0.066356,0.002908,0.011754,-0.05433,0.028101,-0.028181,-0.007649,0.025261,-0.013053,-0.013851,-0.011589,0.014475,-0.066534,0.011055,0.028754,-0.035283,-0.002369,-0.042471,0.057917,0.016026,0.04555,-0.018883,-0.010553,0.004815,0.02239,0.060478,0.044197,-0.062859,0.041602,0.053144,-0.086713,-0.027848,0.055739,-0.049573,-0.027664,0.03752,0.035286,-0.020661,0.037613,-0.017348,-0.005376,0.000682,-0.054302,-0.005354,0.028918,0.017912,0.030899,0.007705,-0.013537,-0.019387,0.000482,0.047323,-0.030155,-0.02559,-0.000807,-0.005203,0.003488,0.054261,-0.001859,good
0.015649,-0.001882,0.006182,0.025216,-0.022163,0.014241,0.048412,-0.028811,0.006924,-0.075962,0.013206,-0.025054,0.001944,0.049952,0.040921,0.005829,0.010703,0.036725,0.002534,-0.040482,0.030741,0.024532,0.010113,-0.023687,0.00999,0.025651,-0.031961,0.023732,-0.000305,-0.001049,0.008312,-0.002937,0.044683,-0.045274,-0.002374,0.015511,0.036497,-0.069385,0.004243,0.026701,0.008465,-0.009612,0.026793,-0.023372,0.011117,0.024512,0.030081,0.039767,-0.022503,-0.047276,-0.041382,0.025146,0.015789,-0.024865,-0.010967,0.008489,0.010422,-0.036947,-0.03997,good
-0.007178,-0.01469,-0.015264,-0.020808,0.02185,-0.002201,0.009771,-0.003309,-0.037508,0.078739,0.020615,-0.001326,-0.026058,0.016771,0.06448,-0.073633,-0.049684,-0.000889,-0.010375,0.002316,0.005506,0.014913,-0.015326,-0.058649,-0.023814,0.005834,0.036895,-0.022386,0.05519,-0.080535,-0.03942,-0.090729,-0.057194,0.039283,-0.047981,-0.070661,-0.001953,0.009284,0.011449,0.00104,-0.061059,-0.004484,0.0021,-0.001976,-0.010201,0.004726,0.008079,0.068175,0.039288,0.015805,-0.058547,0.000718,0.044719,-0.023597,0.009881,-0.034914,0.035884,-0.026387,-0.042238,good
-0.011328,0.029133,0.015864,-0.014338,0.002135,0.028073,0.014165,0.045031,0.02719,0.006473,-0.013076,-0.017074,0.059879,0.009935,-0.026218,-0.063257,-0.008363,0.011807,-0.045287,-0.000797,-0.015124,0.03005,0.023371,-0.003778,0.041616,-0.077662,0.082183,-0.010546,-0.057115,-0.010688,0.023774,-0.024506,0.028835,0.06919,-0.077888,0.018664,0.019745,0.002448,0.011449,0.058779,-0.00387,-0.061124,0.035792,-0.018028,0.005912,-0.069859,0.060325,0.040526,-0.061298,0.016293,0.055833,-0.010512,-0.060479,0.028649,-0.051765,-0.009035,-0.010503,0.022441,0.059202,good
0.006006,0.024921,-0.020025,-0.025324,0.016418,0.005612,0.006719,0.052355,0.003264,-0.006466,0.005967,0.032121,0.006168,0.038499,-0.008762,0.044043,-0.019593,0.028408,0.026246,-0.026798,-0.054308,-0.001688,0.028131,-0.000482,0.001088,-0.037378,-0.005585,0.021315,0.001723,-0.043769,-0.016532,0.012115,-0.00446,-0.047143,-0.028221,-0.026441,-0.00647,-0.002679,-0.003443,0.00751,-0.001733,0.035555,0.003565,-0.047752,-0.055856,0.016444,-0.007302,-0.00644,-0.010761,-0.002139,0.065355,0.022813,0.007777,0.010582,-0.04676,0.014646,-0.01331,0.017559,-0.003054,good
0.021509,0.003794,0.018755,0.08442,0.020744,0.026448,0.007762,0.025632,0.059414,-0.015903,-0.01487,-0.053375,0.009268,0.023829,-0.054294,0.035004,-0.031472,-0.010638,-0.028716,-0.017105,0.010965,0.006954,0.006573,-0.00141,0.049541,0.015153,0.025657,0.002858,0.022888,-0.042408,-0.00536,0.019585,0.012212,0.048537,-0.02778,-0.008079,-0.006472,-0.075489,0.018159,0.011686,-0.067463,0.039216,0.023375,0.050847,-0.032096,0.005835,0.04595,0.024966,-0.025189,-0.035191,-0.033203,0.053833,-0.077427,0.026161,0.028584,-0.061824,0.009812,0.03776,-0.044731,good
0.020654,-0.059307,-0.035528,0.006658,0.018371,-0.030277,-0.013789,-0.003065,0.032072,-0.019894,-0.023818,-0.056014,0.008122,0.024827,0.021023,0.02561,0.016783,0.005459,-0.000609,-0.013004,0.069471,0.014913,-0.009344,0.009283,-0.023326,0.009497,-0.02121,-0.030077,0.035414,0.001641,-0.026664,0.001373,0.019466,-0.026819,0.029885,0.042102,0.012207,0.023688,0.008764,-0.000791,0.019019,-0.025968,-0.020849,-0.070091,-0.019723,0.020229,0.001975,0.008941,-0.034687,-0.00922,0.000902,-0.001601,0.042933,-0.005775,-0.019172,0.056883,0.021602,0.020977,-0.042604,good
0.011255,0.006175,-0.000776,0.0113,0.047722,-0.019634,0.005199,0.002683,0.011929,-0.052036,0.06179,0.021882,0.020499,-0.034765,-0.007053,0.038544,-0.008645,-0.018939,0.006929,-0.032486,-0.010153,-0.030644,-0.01601,-0.003729,-0.007588,-0.01097,0.033835,0.035817,-0.004944,0.004711,-0.023037,0.047051,0.064794,-0.029161,-0.010797,0.025613,0.02664,0.008495,0.030122,-0.00638,0.043499,0.01236,0.005797,0.013738,-0.017936,0.013282,-0.011545,0.022372,0.009479,-0.000157,0.028565,-0.058899,-0.021843,-0.026818,-0.019756,0.015813,-0.009109,-0.00179,-0.004204,good
0.047998,-0.02763,0.001093,-0.011042,0.003539,-0.006107,0.008306,-0.036512,0.026457,0.026981,-0.000869,-0.072371,-0.043636,-0.001784,-0.021945,-0.045312,-0.041993,-0.040928,-0.020141,0.023923,-0.05797,-0.08079,0.012262,-0.021051,-0.029673,0.019018,-0.001679,-0.044847,-0.004136,-0.001555,-0.011588,-0.059723,-0.02863,-0.032495,-0.00843,-0.036603,0.0177,0.059577,-0.053736,0.005923,-0.053735,-0.00839,0.048975,-0.024437,0.001517,0.003749,-0.030496,-0.085633,0.026592,-0.001773,-0.013137,0.087632,-0.062886,0.017418,-0.037727,-0.036867,0.037349,-0.048848,-0.00757,good
-0.01499,-0.034597,0.032122,0.043527,-0.067451,0.010091,0.000804,-0.044192,-0.01334,-0.021518,-0.018044,0.023347,0.052969,-0.027685,0.020047,-0.021331,0.019126,0.000837,0.004365,0.015335,0.028238,0.02795,0.06181,0.001947,0.060527,0.005448,0.029441,0.027699,-0.029877,-0.012279,0.020034,-0.007819,-0.030055,-0.020616,-0.031518,0.025399,-0.005282,-0.034595,0.003632,0.032133,0.031627,-0.002288,-0.035219,-0.017024,-0.02111,0.025183,-0.01301,-0.010923,-0.033246,-0.024876,0.01001,0.005066,-0.010618,0.017127,-0.00114,-0.068049,-0.070876,0.024821,-0.032646,good
-0.020361,0.056599,-0.007452,0.015813,0.022338,0.010983,0.000005,-0.004286,0.001555,0.067997,-0.039931,0.011613,-0.002621,-0.026198,-0.020481,-0.012353,-0.025026,0.000088,0.006227,0.019894,-0.013048,0.042257,-0.039251,-0.034235,0.045522,-0.01272,-0.023652,0.018141,-0.032701,-0.007521,0.00248,0.003998,-0.016545,0.01023,-0.004402,0.000872,0.017212,0.059577,-0.016139,-0.008481,0.026831,-0.00839,0.036768,0.041481,-0.040475,0.033046,0.002708,-0.030213,-0.051044,-0.064273,-0.055861,-0.021255,-0.006383,0.040856,0.057976,0.001219,-0.026128,-0.017598,0.010252,bad
-0.058814,-0.008046,0.000322,0.052316,-0.015755,-0.036235,-0.034596,0.028073,0.035733,-0.037632,-0.004616,0.039521,0.006827,0.027491,-0.014011,-0.010894,0.048057,-0.014544,0.008882,0.037582,0.015116,0.038692,-0.058368,-0.002752,0.01585,-0.02391,-0.006204,-0.029002,-0.034363,-0.04546,0.008117,0.024651,0.082891,-0.016954,0.08599,-0.001548,0.003965,-0.024219,-0.05191,0.012541,-0.034321,0.034821,-0.023012,0.011601,0.076058,0.028174,0.012503,0.019595,0.002277,-0.058018,-0.063721,0.025146,0.017117,-0.006554,0.046895,0.055119,-0.014846,-0.06722,-0.027641,good
-0.008643,-0.013897,-0.040167,0.070135,-0.047059,0.018551,-0.016718,-0.00453,0.004729,0.029911,-0.025283,0.022111,0.110661,0.010179,-0.045383,0.013892,0.032531,0.064053,-0.070922,-0.021793,-0.000109,-0.044657,0.041925,-0.004389,-0.011607,-0.013208,0.0242,0.004591,0.030532,0.020196,0.000191,-0.019623,-0.015202,0.006568,0.006935,0.000354,0.023438,0.10279,0.023412,0.019717,-0.000513,-0.027433,-0.027685,-0.059837,-0.017281,0.034389,0.011008,0.036284,-0.02248,0.021054,-0.00154,0.030625,0.017054,0.026451,-0.015266,0.04907,-0.046758,0.080059,-0.022096,bad
-0.061987,0.013194,0.108355,0.047799,0.030266,0.064534,-0.055958,-0.080081,0.077969,0.029507,0.003929,-0.022613,0.012686,-0.007421,0.012357,-0.051177,0.030967,0.05235,0.013765,0.002304,-0.00173,-0.039433,0.027813,0.013971,0.014873,-0.020736,0.097556,0.059254,0.003357,0.025707,-0.030323,0.060113,0.001043,-0.062974,-0.078561,0.03196,-0.009463,0.042919,-0.046783,0.003386,-0.010578,0.054841,-0.021059,-0.069026,0.026742,-0.024316,0.047903,0.07648,-0.001629,-0.025182,0.03418,0.006958,0.073452,-0.0505,-0.002422,0.039494,0.042771,-0.049154,-0.031548,good
-0.001196,0.009776,-0.033003,-0.054007,-0.016365,0.033772,-0.021046,-0.025882,0.031826,-0.021274,0.035423,-0.034576,0.027823,0.021631,-0.038425,-0.011383,-0.003457,0.020124,0.030854,-0.01857,0.008768,0.022579,0.001934,0.002741,-0.0154,-0.006332,-0.036599,-0.003978,-0.058655,0.01643,0.005443,0.007622,0.016912,-0.019884,-0.059274,-0.035972,0.072019,-0.024708,0.015717,-0.053743,-0.025227,0.032868,-0.029604,0.066838,-0.043083,0.045264,-0.023874,0.033755,0.019489,0.032436,0.049316,-0.018433,0.012173,-0.04171,0.001484,0.025334,-0.080276,0.020915,0.011665,good
0.027951,0.101432,-0.072027,0.056391,-0.001422,0.071907,0.04177,-0.060127,-0.024136,-0.038217,0.010507,-0.020241,0.017444,0.023725,-0.017846,0.027896,-0.023284,0.066625,-0.014619,0.046455,-0.002167,0.072512,0.018093,0.001547,0.042685,-0.018904,-0.024713,0.104152,0.002158,0.004019,-0.087025,-0.057611,-0.040418,0.015545,0.042253,0.044137,-0.054733,0.019754,0.027956,0.038299,0.017291,0.038374,-0.002914,0.031421,0.069303,-0.034918,-0.044621,0.042589,0.013917,-0.017647,-0.018424,0.029008,0.020958,-0.087013,-0.047505,-0.00274,-0.010572,-0.001695,0.042109,good
0.039453,0.008137,-0.015386,0.004461,0.007018,-0.042972,0.027837,0.02257,-0.018465,-0.032833,-0.03456,-0.026351,0.027653,-0.03694,0.043118,0.033667,0.030944,-0.042881,0.005494,0.041195,0.002454,-0.009989,-0.048651,0.021612,-0.046275,0.044409,0.081695,-0.011522,0.029311,0.038141,-0.017852,-0.00058,-0.001194,0.051612,0.018791,-0.016492,0.02121,-0.035638,0.013402,-0.074033,-0.051721,-0.025968,0.012598,-0.018272,0.017631,0.00265,0.04177,-0.023927,-0.007587,-0.023013,0.026536,-0.04811,-0.001397,0.014733,0.025384,0.027098,0.052486,-0.045918,0.01721,good
0.013452,-0.015667,0.023615,0.005315,0.041015,0.007321,-0.01684,0.021349,-0.022615,0.059452,-0.007705,0.029008,-0.054134,-0.050124,-0.016452,0.017615,0.005736,-0.016269,-0.013427,0.022366,0.025953,-0.014872,0.03515,-0.005182,0.046254,-0.01388,0.015777,-0.024278,-0.003679,0.00052,0.000897,-0.019196,-0.040867,0.01023,0.008507,-0.005964,-0.024689,0.001593,-0.027003,-0.031614,0.025824,-0.02841,-0.032568,0.024147,-0.007272,0.01321,-0.00425,-0.025605,0.03001,0.014279,-0.001784,-0.013015,0.011262,0.042809,-0.072334,-0.032351,-0.007817,0.002178,-0.050295,good
-0.024268,0.001606,0.012812,-0.041682,-0.009217,0.003903,-0.028681,0.002794,0.003752,0.044315,-0.011611,-0.016219,0.017887,0.05388,-0.050022,-0.037988,0.000975,-0.038486,-0.022582,-0.04816,0.017469,0.042745,0.012506,0.020758,0.012807,-0.015162,-0.025849,-0.021044,0.007582,0.002618,-0.011222,0.000763,-0.031376,0.010291,0.002785,-0.035108,0.014832,0.028815,0.007177,-0.021787,-0.017847,-0.000089,0.014551,0.020119,-0.029,0.012294,-0.030984,-0.037446,0.053814,-0.021182,0.017015,-0.045547,-0.006994,0.010826,0.015252,0.01367,-0.001103,-0.009785,-0.024538,good
0.107934,-0.032888,0.014238,-0.047538,-0.127388,-0.016765,0.019115,-0.031741,-0.038974,-0.014927,-0.037575,-0.01358,0.01171,0.060694,-0.002536,0.017548,-0.031533,0.006452,0.055269,-0.032059,0.007792,-0.01453,0.005719,-0.017096,-0.026143,-0.028548,-0.046609,-0.020702,0.001648,0.043202,-0.002919,0.069085,0.027349,0.09828,-0.081964,0.006356,0.046141,-0.061085,-0.044585,-0.05826,-0.068196,-0.025237,0.039488,-0.040217,0.017953,0.001563,-0.062692,0.005832,-0.004437,-0.000401,0.01355,-0.034912,0.044064,-0.066857,0.049336,0.002629,-0.027175,-0.040853,0.018867,good
-0.019385,0.020649,-0.022222,0.012762,0.014709,0.038815,0.042852,0.043077,-0.010164,0.017704,0.025254,0.123185,0.075993,-0.014235,-0.048557,0.050879,0.027159,0.021572,-0.057738,-0.030094,-0.007677,-0.079325,0.02569,0.006354,0.005971,0.049047,0.004913,-0.02788,0.01686,0.039239,0.038155,-0.025971,-0.006474,0.01023,-0.021141,0.010608,0.000366,0.050055,0.034032,0.015078,0.014868,0.03409,0.005518,-0.012108,0.017142,0.05038,-0.003884,0.033843,0.020245,0.047665,0.007737,-0.015761,-0.025304,-0.001869,0.004998,0.003416,-0.029424,0.007793,0.007933,good
-0.022803,0.031696,0.013544,0.036321,-0.02356,0.000485,-0.028803,-0.035536,-0.017488,-0.035031,-0.011611,0.003556,-0.023128,0.002122,-0.016574,0.000342,-0.047731,-0.015537,0.00818,0.018307,0.017713,0.026632,0.000544,0.019232,0.06017,0.034643,-0.036835,0.039625,-0.017076,0.010774,-0.020316,-0.061188,-0.031804,-0.013696,-0.006721,0.012469,0.013184,-0.018548,0.004613,0.078677,-0.008569,-0.00839,0.03042,0.014382,-0.059029,0.047694,0.015403,-0.058778,-0.040302,-0.007633,-0.052687,0.017564,0.038981,-0.020668,0.03698,-0.016359,-0.038335,-0.017598,-0.014894,good
