@relation 'german_credit-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M28'

@attribute '-0.326property_magnitude=no known property-0.322housing=for free-0.267credit_amount-0.237personal_status=male single-0.232job=high qualif/self emp/mgmt...' numeric
@attribute '0.347housing=own+0.291checking_status=no checking+0.289credit_history=critical/other existing credit-0.266housing=rent+0.248existing_credits...' numeric
@attribute '-0.297property_magnitude=car+0.289job=unskilled resident-0.289other_parties=none+0.249other_parties=guarantor+0.241property_magnitude=real estate...' numeric
@attribute '0.36 other_payment_plans=none-0.29housing=own-0.268other_payment_plans=bank+0.242residence_since-0.223other_payment_plans=stores...' numeric
@attribute '0.397other_parties=none-0.333job=skilled-0.314other_parties=guarantor-0.236purpose=radio/tv-0.232personal_status=male single...' numeric
@attribute '0.358savings_status=<100-0.322credit_history=existing paid+0.318credit_history=critical/other existing credit+0.318existing_credits-0.219savings_status=no known savings...' numeric
@attribute '-0.395other_payment_plans=none+0.354other_payment_plans=bank+0.295job=skilled-0.294employment=unemployed-0.294job=high qualif/self emp/mgmt...' numeric
@attribute -0.356savings_status=<100-0.293checking_status=<0+0.274housing=rent-0.267other_parties=none+0.251savings_status=100<=X<500... numeric
@attribute '0.256employment=1<=X<4-0.239personal_status=female div/dep/mar+0.225purpose=business+0.219num_dependents-0.21employment=unemployed...' numeric
@attribute '-0.432property_magnitude=life insurance+0.311purpose=radio/tv-0.255savings_status=no known savings-0.236purpose=furniture/equipment+0.221savings_status=<100...' numeric
@attribute '-0.465employment=1<=X<4+0.348checking_status=0<=X<200-0.33checking_status=no checking+0.3  property_magnitude=life insurance+0.236employment=<1...' numeric
@attribute '-0.344job=unemp/unskilled non res+0.32 job=unskilled resident-0.304job=skilled+0.25 housing=rent-0.248employment=1<=X<4...' numeric
@attribute '0.392property_magnitude=car+0.369purpose=new car+0.33 employment=4<=X<7-0.269purpose=furniture/equipment-0.268property_magnitude=life insurance...' numeric
@attribute '-0.394personal_status=male div/sep-0.356employment=>=7-0.272property_magnitude=car+0.217purpose=education-0.213residence_since...' numeric
@attribute '0.36 employment=<1-0.27employment=unemployed+0.251checking_status=>=200-0.238residence_since-0.229installment_commitment...' numeric
@attribute '0.413personal_status=male mar/wid-0.328savings_status=100<=X<500-0.303purpose=education-0.244personal_status=female div/dep/mar-0.235job=unskilled resident...' numeric
@attribute '0.354savings_status=>=1000-0.332credit_history=no credits/all paid+0.308employment=4<=X<7-0.304savings_status=no known savings-0.256employment=1<=X<4...' numeric
@attribute '0.291purpose=new car-0.284employment=<1+0.258employment=1<=X<4-0.257job=unemp/unskilled non res-0.242personal_status=male single...' numeric
@attribute '-0.386personal_status=male mar/wid+0.292employment=4<=X<7+0.272personal_status=female div/dep/mar-0.225property_magnitude=life insurance+0.211savings_status=>=1000...' numeric
@attribute '-0.378savings_status=500<=X<1000+0.327savings_status=no known savings+0.291other_payment_plans=stores+0.271installment_commitment-0.257employment=4<=X<7...' numeric
@attribute '-0.334purpose=business+0.326savings_status=>=1000+0.307checking_status=0<=X<200+0.296purpose=used car-0.262employment=4<=X<7...' numeric
@attribute '-0.528checking_status=>=200+0.394purpose=repairs+0.367checking_status=no checking-0.195purpose=radio/tv+0.173credit_history=no credits/all paid...' numeric
@attribute '-0.305purpose=retraining+0.304credit_history=delayed previously-0.243personal_status=male mar/wid-0.221credit_history=all paid+0.22 other_parties=guarantor...' numeric
@attribute '0.327savings_status=>=1000-0.293personal_status=male div/sep+0.257credit_history=no credits/all paid+0.253purpose=retraining-0.237credit_history=delayed previously...' numeric
@attribute '0.347purpose=education+0.295credit_history=delayed previously-0.285savings_status=500<=X<1000-0.276purpose=domestic appliance+0.25 purpose=repairs...' numeric
@attribute '-0.275purpose=used car+0.255purpose=furniture/equipment-0.249purpose=education-0.239savings_status=100<=X<500-0.224checking_status=>=200...' numeric
@attribute '-0.546purpose=domestic appliance-0.255purpose=education+0.227credit_history=no credits/all paid-0.222checking_status=0<=X<200-0.207employment=<1...' numeric
@attribute '-0.375purpose=retraining-0.308credit_history=all paid+0.299savings_status=100<=X<500-0.289savings_status=500<=X<1000-0.278purpose=new car...' numeric
@attribute class {good,bad}

@data
1.100232,1.541002,0.374093,0.107747,0.663183,-0.464194,0.24895,-0.400575,-0.305122,2.128859,0.127407,2.583344,0.182124,-1.410126,-1.127616,0.743246,-2.158651,-0.860686,-1.52123,0.032581,-0.826047,1.903762,-1.29435,0.641321,-0.372444,-0.731012,1.756536,0.300792,good
1.774795,-0.287862,0.451501,1.681631,1.010851,-0.826646,2.476993,2.084977,-0.343804,1.944973,-1.327893,-1.572665,-0.477077,-0.600292,-0.32225,-0.235795,1.509143,0.050698,1.499901,1.235298,0.381113,-4.186643,-1.131246,1.678262,-0.12659,-1.34729,1.29176,-0.775942,good
2.76391,-0.28584,2.258494,-1.309191,-4.21476,-0.171857,-1.496729,0.75188,0.336857,1.488031,0.009088,-0.352909,-0.8655,0.324653,0.024832,0.31904,-1.103375,0.303836,0.900591,-1.164801,1.248901,-0.989278,1.523675,0.083334,-0.564211,-0.535832,-0.385643,-0.725708,good
1.279784,-0.278963,-0.478711,-2.3162,0.822446,-2.201606,1.722453,1.554142,0.026063,1.54423,1.480767,-0.649567,-1.565644,-0.995107,1.248181,3.377892,2.78659,0.893256,0.024195,-0.07574,1.115724,0.952663,-0.457737,2.487909,0.113257,-0.299045,-0.503202,0.426767,good
0.884072,-0.625465,-0.612347,-2.549133,-0.660265,0.69153,1.741908,-3.223117,-0.044697,-0.925755,-1.757872,-1.376699,0.044411,0.188477,-1.260845,-0.286364,0.510139,-0.965213,0.234282,0.950311,2.031695,-0.477376,-0.419648,-0.288142,0.424915,0.660217,0.542338,-0.086156,good
0.101383,0.363295,-1.864171,-1.273219,-0.524985,-0.411106,-1.140004,0.862901,1.826915,-0.127969,0.626681,-1.260177,1.708745,-1.442617,0.080131,-1.483098,-0.246597,1.323274,-1.059916,0.009255,1.492344,-0.108012,0.352418,-0.085809,-0.536206,-0.187721,-0.186954,0.221676,good
-2.243085,1.191998,1.116587,2.622171,0.783259,-1.394862,0.814753,1.639382,0.720889,-0.205946,0.029212,1.710324,-1.200656,-0.460791,-1.189635,-0.018931,-0.20547,-1.386205,-0.035438,0.999386,-1.525128,-0.220664,0.073688,1.203418,-0.106024,-0.391368,-0.432526,0.339399,good
1.101109,-1.961405,0.129128,-1.891831,2.320076,-0.826515,0.787311,-2.35821,-2.92295,-0.838987,0.816939,-0.083517,-1.766446,0.266892,2.7903,-0.38056,0.591724,-0.544856,-1.61619,-0.813924,-0.246742,-1.278379,0.620772,1.331798,-0.125817,-1.289667,0.491729,0.712206,good
0.433661,0.826757,0.625104,-1.405162,0.832764,1.085642,-0.720093,-0.229292,0.635521,0.422434,2.133225,1.786368,-0.747787,1.888958,0.916017,-1.01193,-1.127979,-1.063144,-0.40939,-0.049326,0.393156,-0.515881,-1.792061,-0.883264,-1.83069,0.814353,-0.547262,0.333613,bad
-3.984765,-1.080121,0.062615,-0.042611,-0.680744,0.277633,2.647075,-0.105928,0.78551,1.363956,-2.328151,-1.573607,-0.591023,2.252664,2.400305,-1.052117,-0.804628,1.223069,-0.561819,-1.744566,-0.77604,0.629397,0.070218,0.326211,1.246201,-0.150881,-0.845342,0.922556,good
1.798642,-0.052965,2.445021,-2.540181,-3.550155,-0.499479,-0.023609,-0.862615,-1.629076,1.003447,-1.433706,-2.200893,-0.948877,0.655075,-0.138402,-1.300256,1.646644,-2.697843,-0.922742,2.666487,-0.601544,-2.23779,-0.53369,1.094927,0.8522,-1.014065,1.558864,-0.492988,bad
1.560665,0.202496,-1.352451,0.061694,-0.501368,-0.624338,-0.677294,-2.79816,0.041066,0.620534,-0.622395,-2.74441,0.988495,-0.994039,0.343374,0.386923,-0.679687,-0.118688,0.749532,-0.049072,-2.418365,-1.956641,0.758316,0.154763,-1.244305,-3.467537,-4.708825,1.921577,good
1.975434,0.400075,-2.674365,-0.765334,-0.647022,-1.478089,-0.857596,-0.57442,-0.100786,1.550158,-0.446253,-1.633293,-0.534092,-2.557548,-0.797763,-0.173717,0.049443,0.733883,-0.640112,-2.422767,-0.291984,-1.132937,-1.08794,-1.664109,-0.054521,0.2449,-0.869195,-1.102007,good
-0.48304,0.8282,1.78773,-1.254958,0.970279,-0.398309,-1.891735,0.161477,3.895608,1.220575,-0.103482,0.569548,-1.368723,0.263287,-1.989345,-0.503678,-0.090808,-1.220048,1.80086,-0.346426,1.833996,2.233886,0.438975,-0.981262,2.545457,-0.065788,-1.255561,-0.113389,good
-0.420439,-0.895379,-2.047007,0.890575,0.094284,2.023346,0.835474,2.990567,0.908257,-0.611716,-0.433235,1.832331,2.822106,-0.362245,-0.801485,1.456982,0.978629,0.899858,-0.43182,-0.530367,0.572342,-1.139766,-2.270473,-2.583359,0.923824,-0.64498,0.865137,2.042151,good
0.300397,0.837812,-0.07062,0.712103,2.637473,1.33579,-0.853016,0.020766,-2.012401,0.569754,-0.106901,1.135472,1.090856,-0.035861,1.37253,-1.248318,0.131566,0.711265,-0.62422,0.962123,0.310606,1.38454,0.129636,-0.145892,-0.940247,-0.798544,-0.407147,-1.330372,good
-0.22389,2.048309,-1.943579,1.016904,-2.074349,-1.866383,0.310715,-0.83173,-1.273282,0.449559,-0.067347,0.126708,0.750947,-1.447106,-1.519206,-0.595823,-0.395073,-1.544359,-0.389167,-1.033358,-0.412653,0.585334,-0.019978,-0.920314,-1.296485,0.708591,0.146933,-1.109294,good
0.438444,-3.573786,-0.70157,2.112848,3.571051,-0.739712,-2.229651,1.117787,-2.095848,-1.59578,-0.784264,-2.781218,1.946604,1.034008,-3.043971,2.532019,-1.034558,-2.359634,0.013256,-2.093858,0.533401,-1.422533,1.434058,-1.599842,-0.455402,-0.778298,0.931886,0.18511,good
2.939876,-0.316119,0.356619,-0.069168,-3.353514,-0.641425,-1.243681,2.765807,-1.450496,0.377704,-0.837235,-1.563275,-0.66363,0.374186,-0.632544,-2.842296,1.266521,-0.281493,-0.813038,1.51402,-1.54108,1.36756,-0.478872,0.16716,-0.468444,-0.721671,1.198875,0.559251,good
0.072466,0.000168,0.532387,-2.89418,1.634269,-1.740843,1.770567,0.175772,0.423641,-2.006526,2.335146,0.352845,-2.051315,1.541827,0.407537,-0.410175,-0.455401,-1.394554,-0.959805,0.142076,0.77162,-0.027695,-0.249102,-0.346778,0.630562,2.197956,-1.994561,0.156262,good
-2.616026,0.453524,-1.536887,-2.106359,0.814117,1.085871,-2.241341,-0.148289,0.464367,0.404363,-0.203773,1.925272,-0.299442,-0.654504,0.405197,0.363588,-0.098705,-0.492802,-0.319488,-0.357859,1.85308,-0.593194,0.785754,-1.100043,0.882993,-0.204284,-1.222799,-1.342816,good
0.012815,0.986769,-2.270414,0.223063,-1.11648,-1.035702,-0.978656,-0.177406,0.525931,-2.748515,-1.15816,-1.162415,-1.206122,1.338798,0.801576,1.334529,-1.270001,0.213262,-0.179965,-0.089585,0.806861,-0.128795,0.055183,-0.118543,0.208176,-0.955899,0.148517,0.437614,good
-4.848877,-0.602307,1.51353,-0.297233,-0.34069,-0.494612,2.443873,-0.051399,0.752757,2.362928,1.7303,-0.490136,-0.007729,-0.27068,0.59907,0.438106,0.639181,0.820967,-1.248649,0.111878,0.384376,0.823266,2.156306,-0.072934,0.611998,1.945687,-0.564776,-1.123686,bad
1.20971,0.942256,4.648675,-3.125719,-1.092397,-2.955352,0.998361,1.927844,0.476718,-2.352217,-2.75189,-1.246586,-0.032372,1.58348,-0.404761,-0.020678,-0.197254,-0.145351,1.832886,1.44491,1.130332,-1.338167,0.229001,-1.542435,-0.117325,-1.647267,0.162472,-3.484174,good
-2.293641,-0.858222,-0.710518,-0.691372,0.283775,-2.404805,-4.064484,-0.275534,-1.050521,0.355749,0.872017,-0.733848,-0.58848,1.11029,0.02391,0.748026,-0.738793,-0.35428,-0.128621,-0.337964,0.529969,-1.205877,0.239397,0.603254,-0.307055,0.805043,-0.081216,0.642434,bad
0.111495,1.355382,-1.479022,-2.509767,0.444385,1.666066,1.519688,0.045529,-1.39869,1.256377,-2.742435,-0.678479,-0.173055,1.504446,0.543796,-0.879881,-0.638781,-0.56935,0.699801,1.431438,0.829485,-0.044442,-0.321471,-1.604611,-0.300306,0.595896,1.850453,-0.44609,good
-0.402184,-3.860262,2.288615,0.954022,-0.435906,3.689085,-0.037816,2.177504,-1.629164,-0.734907,-0.38343,1.472792,-1.126543,0.613405,-0.209056,-2.265739,1.343786,-1.602118,-0.532162,1.580764,-1.460031,0.541981,-2.638385,0.226487,-0.665622,0.391666,-0.952328,-0.761181,bad
1.955596,-0.534955,0.008317,-3.198146,0.201084,-1.292777,1.007156,0.261897,0.800944,2.066818,-0.574266,-0.756641,-0.840986,-0.392386,0.580597,3.06862,0.401189,1.442078,-1.370099,-1.090029,-0.262761,0.537582,0.829571,1.598452,0.805384,0.087991,-0.494877,0.889066,good
-0.262028,2.326417,2.58157,0.237344,-3.60105,0.158355,-0.996633,2.926236,-1.599554,0.967521,2.040537,0.465248,-1.587563,-0.59021,-0.031389,1.101148,-1.517232,0.323863,1.414946,0.253033,0.978364,-1.840745,0.934353,-0.213576,-0.623702,-0.212194,-0.985729,-0.815826,good
-5.040172,-1.48109,0.403875,-0.106022,0.209338,0.177962,-0.286589,-0.64582,1.878891,2.710783,1.61673,1.184623,-1.672737,-1.503249,-0.792762,0.740607,-0.99623,-0.498333,-0.393917,-0.201381,-1.402762,0.68731,0.602309,3.006983,-2.38664,-1.428966,1.159186,-0.393854,bad
-1.51363,-0.581867,-3.031032,-4.040809,-0.543965,2.55546,-0.557071,0.18047,3.403245,0.897334,-0.365502,-0.315776,-0.245898,-1.602766,0.000391,0.657783,-2.651519,-0.868547,0.59173,-0.013191,-0.996875,0.551057,-0.286882,2.184956,-1.733138,-0.533815,0.695754,-0.423433,bad
1.629745,-0.43845,-1.727239,0.679125,-0.21438,0.161077,0.136929,-0.802185,-1.664139,-0.020421,1.123551,0.677012,-1.097129,1.391005,1.091429,-0.047533,-0.233527,-0.266145,-0.316508,0.433828,-0.552469,1.218884,0.846688,-0.482558,-0.998927,-0.41301,0.796085,-0.368634,good
-2.991604,-1.207091,-0.189861,0.41237,-1.357404,-1.326208,2.588713,-2.17306,0.550105,1.6591,-1.765999,-1.403894,-1.209445,3.174216,-0.144997,-1.33934,0.731069,0.570496,-0.416594,0.862967,0.568614,0.321211,0.811783,0.660328,1.123961,-1.46262,0.160817,-0.272521,bad
1.32832,0.60993,-2.88557,0.642591,-1.338373,-1.212362,0.217428,0.431353,-1.09442,0.261552,-0.979283,-0.337586,0.060106,0.32316,-0.263017,-0.841852,-1.875394,0.240972,0.915731,1.700708,-0.256793,0.435645,-0.165238,-0.064077,0.296935,0.817064,0.66853,0.269514,good
0.182799,-1.175462,-1.503693,-1.812305,0.101563,-0.115517,1.402194,-0.067297,-0.610376,-1.603663,-2.270975,-0.878754,-0.998763,0.827882,2.026076,0.816804,-1.453778,0.517904,0.607417,-1.259132,0.486724,1.585168,0.908884,-1.137921,0.244701,-0.035523,1.582803,0.937271,good
-6.083371,-1.331975,4.087289,-0.657344,0.623815,-0.06222,0.764642,-0.705533,-2.425757,0.940251,-0.949683,0.196293,-0.310237,-1.315729,0.399558,-0.429039,-0.055514,1.236287,-1.990734,-0.298105,-0.243792,1.012007,-0.689623,0.72569,0.62767,1.34919,-1.941783,2.475871,good
0.021922,0.321289,1.334019,-3.617089,2.490661,0.490113,0.939586,1.701907,0.607108,1.075778,0.005496,1.337306,-0.251408,0.39322,1.434853,0.096388,0.308571,0.407158,2.525014,-1.145366,-1.912791,0.149825,0.278873,0.755201,-0.452495,1.66498,0.370359,1.225259,good
-3.152687,-0.602222,-0.287735,1.402693,-0.749895,-1.783182,-0.809431,-1.829427,-0.66685,-0.509925,1.126438,0.64422,-1.177211,0.322557,-0.052732,-0.911491,-0.815913,1.468491,0.306798,1.610254,-0.459643,-0.440609,-0.238554,0.770902,1.063956,-0.89111,-1.431636,0.687607,bad
-4.768072,-0.340917,2.250137,2.971526,0.217134,0.806316,-0.370866,-1.543768,-0.483913,1.238816,-0.137769,1.249063,-0.395514,-0.046657,-0.177865,0.520994,0.207091,0.607083,0.007623,-0.171598,0.924516,-0.299218,-0.894098,-0.662621,-0.722517,-1.013784,0.364758,0.419868,good
0.791542,-0.476664,-1.18623,-0.522461,-1.642073,0.583235,0.010019,-2.489025,-0.340802,0.624889,1.057641,0.729512,1.259313,-0.034887,0.276927,-0.035393,-0.318819,-1.106824,0.390578,1.283856,0.06279,0.440844,-1.044731,-0.807255,-0.539431,0.270436,-0.235937,0.021826,bad
-0.096411,1.006185,-0.379321,-0.833893,-0.557255,0.675666,-0.271188,-0.227658,1.168162,0.058317,2.356988,0.637977,-0.259915,1.187821,-0.644093,-0.056335,0.202623,-0.20068,0.124846,-1.236483,-0.304118,-1.107627,1.960475,-0.934525,1.075927,1.845058,0.136484,-0.339046,good
-1.875373,0.873182,-0.951496,-1.459655,0.265296,-0.333206,-0.747128,0.603781,3.293285,-3.210668,-1.603473,0.467561,-1.312716,0.633686,0.510643,0.584689,-3.963967,-1.582223,1.071986,0.463461,-0.351677,0.928935,-1.690911,-0.236638,-1.281122,-0.885397,1.566344,0.57,good
2.608715,-1.707849,-1.473033,-1.127946,0.126236,0.715548,-0.323626,-0.877706,0.560802,-0.302112,2.261752,-0.266165,-1.319948,1.136394,1.198739,1.407175,0.184272,-0.361257,-1.842916,-1.51817,0.946394,0.544239,-1.433413,-0.367129,0.087716,0.917553,-0.392648,-0.317884,good
1.633543,-1.460223,-1.023811,0.911115,1.505765,-1.395433,0.881808,2.29292,1.750398,-1.232419,-0.670991,1.319806,-1.160114,-0.006026,-2.055256,-1.897251,0.025069,0.060703,-0.909751,0.468893,-1.284906,0.390002,1.363021,0.033834,-0.760419,-1.625152,1.525149,1.658363,good
