@relation 'german_credit-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '-0.326property_magnitude=no known property-0.322housing=for free-0.267credit_amount-0.237personal_status=male single-0.232job=high qualif/self emp/mgmt...' numeric
@attribute '0.347housing=own+0.291checking_status=no checking+0.289credit_history=critical/other existing credit-0.266housing=rent+0.248existing_credits...' numeric
@attribute '-0.297property_magnitude=car+0.289job=unskilled resident-0.289other_parties=none+0.249other_parties=guarantor+0.241property_magnitude=real estate...' numeric
@attribute '0.36 other_payment_plans=none-0.29housing=own-0.268other_payment_plans=bank+0.242residence_since-0.223other_payment_plans=stores...' numeric
@attribute '0.397other_parties=none-0.333job=skilled-0.314other_parties=guarantor-0.236purpose=radio/tv-0.232personal_status=male single...' numeric
@attribute '0.358savings_status=<100-0.322credit_history=existing paid+0.318credit_history=critical/other existing credit+0.318existing_credits-0.219savings_status=no known savings...' numeric
@attribute '-0.395other_payment_plans=none+0.354other_payment_plans=bank+0.295job=skilled-0.294employment=unemployed-0.294job=high qualif/self emp/mgmt...' numeric
@attribute -0.356savings_status=<100-0.293checking_status=<0+0.274housing=rent-0.267other_parties=none+0.251savings_status=100<=X<500... numeric
@attribute '0.256employment=1<=X<4-0.239personal_status=female div/dep/mar+0.225purpose=business+0.219num_dependents-0.21employment=unemployed...' numeric
@attribute '-0.432property_magnitude=life insurance+0.311purpose=radio/tv-0.255savings_status=no known savings-0.236purpose=furniture/equipment+0.221savings_status=<100...' numeric
@attribute '-0.465employment=1<=X<4+0.348checking_status=0<=X<200-0.33checking_status=no checking+0.3  property_magnitude=life insurance+0.236employment=<1...' numeric
@attribute '-0.344job=unemp/unskilled non res+0.32 job=unskilled resident-0.304job=skilled+0.25 housing=rent-0.248employment=1<=X<4...' numeric
@attribute '0.392property_magnitude=car+0.369purpose=new car+0.33 employment=4<=X<7-0.269purpose=furniture/equipment-0.268property_magnitude=life insurance...' numeric
@attribute '-0.394personal_status=male div/sep-0.356employment=>=7-0.272property_magnitude=car+0.217purpose=education-0.213residence_since...' numeric
@attribute '0.36 employment=<1-0.27employment=unemployed+0.251checking_status=>=200-0.238residence_since-0.229installment_commitment...' numeric
@attribute '0.413personal_status=male mar/wid-0.328savings_status=100<=X<500-0.303purpose=education-0.244personal_status=female div/dep/mar-0.235job=unskilled resident...' numeric
@attribute '0.354savings_status=>=1000-0.332credit_history=no credits/all paid+0.308employment=4<=X<7-0.304savings_status=no known savings-0.256employment=1<=X<4...' numeric
@attribute '0.291purpose=new car-0.284employment=<1+0.258employment=1<=X<4-0.257job=unemp/unskilled non res-0.242personal_status=male single...' numeric
@attribute '-0.386personal_status=male mar/wid+0.292employment=4<=X<7+0.272personal_status=female div/dep/mar-0.225property_magnitude=life insurance+0.211savings_status=>=1000...' numeric
@attribute '-0.378savings_status=500<=X<1000+0.327savings_status=no known savings+0.291other_payment_plans=stores+0.271installment_commitment-0.257employment=4<=X<7...' numeric
@attribute '-0.334purpose=business+0.326savings_status=>=1000+0.307checking_status=0<=X<200+0.296purpose=used car-0.262employment=4<=X<7...' numeric
@attribute '-0.528checking_status=>=200+0.394purpose=repairs+0.367checking_status=no checking-0.195purpose=radio/tv+0.173credit_history=no credits/all paid...' numeric
@attribute '-0.305purpose=retraining+0.304credit_history=delayed previously-0.243personal_status=male mar/wid-0.221credit_history=all paid+0.22 other_parties=guarantor...' numeric
@attribute '0.327savings_status=>=1000-0.293personal_status=male div/sep+0.257credit_history=no credits/all paid+0.253purpose=retraining-0.237credit_history=delayed previously...' numeric
@attribute '0.347purpose=education+0.295credit_history=delayed previously-0.285savings_status=500<=X<1000-0.276purpose=domestic appliance+0.25 purpose=repairs...' numeric
@attribute '-0.275purpose=used car+0.255purpose=furniture/equipment-0.249purpose=education-0.239savings_status=100<=X<500-0.224checking_status=>=200...' numeric
@attribute '-0.546purpose=domestic appliance-0.255purpose=education+0.227credit_history=no credits/all paid-0.222checking_status=0<=X<200-0.207employment=<1...' numeric
@attribute '-0.375purpose=retraining-0.308credit_history=all paid+0.299savings_status=100<=X<500-0.289savings_status=500<=X<1000-0.278purpose=new car...' numeric
@attribute 0.441savings_status=500<=X<1000-0.318savings_status=100<=X<500+0.317savings_status=>=1000+0.291purpose=education+0.224purpose=repairs... numeric
@attribute '-0.364savings_status=>=1000-0.312credit_history=delayed previously-0.304purpose=other+0.271other_payment_plans=stores+0.247savings_status=no known savings...' numeric
@attribute '-0.352purpose=domestic appliance-0.348checking_status=>=200-0.34purpose=repairs-0.289other_payment_plans=stores+0.241purpose=business...' numeric
@attribute '0.33 purpose=repairs-0.314purpose=education-0.292other_payment_plans=stores-0.27personal_status=male mar/wid+0.26 installment_commitment...' numeric
@attribute '0.384purpose=other+0.244num_dependents+0.243foreign_worker=no+0.232other_payment_plans=stores+0.227property_magnitude=real estate...' numeric
@attribute '0.659foreign_worker=no-0.366num_dependents-0.231own_telephone=yes+0.216credit_history=all paid-0.184existing_credits...' numeric
@attribute '-0.419personal_status=male div/sep-0.281other_payment_plans=stores+0.27 credit_history=all paid+0.25 purpose=repairs+0.236own_telephone=yes...' numeric
@attribute '-0.359credit_history=all paid+0.258purpose=furniture/equipment-0.256property_magnitude=life insurance+0.243checking_status=<0-0.227savings_status=<100...' numeric
@attribute '-0.387purpose=other+0.352other_parties=co applicant-0.338other_parties=guarantor-0.284duration-0.202job=unemp/unskilled non res...' numeric
@attribute '-0.343purpose=used car+0.3  personal_status=male mar/wid+0.276credit_history=all paid-0.267purpose=retraining-0.264savings_status=500<=X<1000...' numeric
@attribute '-0.483purpose=business+0.35 credit_history=no credits/all paid+0.321purpose=education-0.249purpose=other+0.222property_magnitude=real estate...' numeric
@attribute '-0.378credit_history=no credits/all paid+0.332purpose=retraining-0.326purpose=other-0.303purpose=used car+0.267foreign_worker=no...' numeric
@attribute -0.4residence_since+0.372employment=>=7-0.34own_telephone=yes-0.335employment=<1+0.329num_dependents... numeric
@attribute '-0.466num_dependents-0.397installment_commitment-0.31residence_since-0.284duration+0.21 checking_status=<0...' numeric
@attribute class {good,bad}

@data
1.177145,-0.400626,0.558485,2.092391,-1.281333,-1.578504,0.808853,-0.205229,1.518514,-0.199097,-2.051319,-0.363967,0.780916,-1.002126,-2.035942,0.837258,-0.209864,-1.379854,-0.501238,-0.915466,-0.117872,-1.384773,0.375714,-1.010722,-0.940417,0.718487,-0.875913,-0.327373,1.791774,-0.928309,0.591229,0.235064,1.947621,-2.053048,0.10287,0.409829,1.311757,-1.146712,-0.108741,0.271772,0.140283,-0.135619,good
-0.249128,0.804392,-0.697868,0.411013,0.352714,0.076122,-0.01305,1.21532,0.631169,-1.085117,2.818177,-0.172247,-0.352695,0.323445,0.467146,-0.491157,-0.07579,-0.176272,-0.501288,-0.824718,2.083497,-0.378232,-0.948741,-1.682225,-1.349125,-1.781943,-0.16354,0.704915,-1.84111,-0.918597,0.176726,-1.273701,-0.025047,0.155072,0.236575,-0.835865,0.329795,-1.80113,-0.575904,-1.610559,-1.457788,-0.435244,good
2.020748,2.167432,-0.788295,0.401891,0.299944,1.000227,-0.171058,1.561315,0.251639,-1.248924,-1.659972,-1.788702,0.341465,0.269826,1.206151,1.374005,-0.663307,0.499663,-2.505127,-0.112974,0.777652,0.018784,-2.648206,0.346969,1.380979,0.521289,-0.205219,0.848681,-0.024441,0.917879,-0.275177,0.118232,0.726883,4.081942,0.096723,2.212422,0.127717,1.724193,-0.845787,1.050105,0.499804,-0.158754,good
1.256086,-0.768518,2.436231,-1.767796,0.880129,-1.095099,0.89974,-2.112094,0.251755,-1.053497,-2.182287,-0.020725,-0.942105,-0.781586,0.028857,0.38339,0.119321,0.101967,0.153281,-1.162481,0.335259,0.157531,0.254368,0.754739,0.252991,1.394029,-0.714329,1.589639,-0.974831,0.338371,0.17275,-0.282527,-0.064238,-0.723599,1.425328,0.982762,0.62108,-0.053711,0.528387,0.164022,-1.674,1.170824,good
1.100232,1.541002,0.374093,0.107747,0.663183,-0.464194,0.24895,-0.400575,-0.305122,2.128859,0.127407,2.583344,0.182124,-1.410126,-1.127616,0.743246,-2.158651,-0.860686,-1.52123,0.032581,-0.826047,1.903762,-1.29435,0.641321,-0.372444,-0.731012,1.756536,0.300792,0.312752,-0.107892,-0.046549,-0.763774,-0.305661,1.296565,-0.759899,0.498506,-0.021707,2.891373,1.848237,-2.811332,0.968348,-0.491419,good
1.774795,-0.287862,0.451501,1.681631,1.010851,-0.826646,2.476993,2.084977,-0.343804,1.944973,-1.327893,-1.572665,-0.477077,-0.600292,-0.32225,-0.235795,1.509143,0.050698,1.499901,1.235298,0.381113,-4.186643,-1.131246,1.678262,-0.12659,-1.34729,1.29176,-0.775942,0.91757,-3.08618,-0.060083,1.78521,-0.295006,-0.390208,0.802729,-1.867427,0.387171,1.159652,1.108446,-0.294491,-0.034202,0.233968,good
2.76391,-0.28584,2.258494,-1.309191,-4.21476,-0.171857,-1.496729,0.75188,0.336857,1.488031,0.009088,-0.352909,-0.8655,0.324653,0.024832,0.31904,-1.103375,0.303836,0.900591,-1.164801,1.248901,-0.989278,1.523675,0.083334,-0.564211,-0.535832,-0.385643,-0.725708,-0.51049,0.213627,0.352036,0.575449,0.355436,0.056486,-0.660733,0.047182,-0.343577,-0.333945,0.321879,-0.255964,-0.226802,0.827235,good
1.279784,-0.278963,-0.478711,-2.3162,0.822446,-2.201606,1.722453,1.554142,0.026063,1.54423,1.480767,-0.649567,-1.565644,-0.995107,1.248181,3.377892,2.78659,0.893256,0.024195,-0.07574,1.115724,0.952663,-0.457737,2.487909,0.113257,-0.299045,-0.503202,0.426767,1.472141,-0.938635,1.166685,-1.753089,-0.846781,-1.11735,0.919491,0.804891,-0.536851,0.437816,-0.820109,-0.192622,-1.530288,-0.040498,good
0.884072,-0.625465,-0.612347,-2.549133,-0.660265,0.69153,1.741908,-3.223117,-0.044697,-0.925755,-1.757872,-1.376699,0.044411,0.188477,-1.260845,-0.286364,0.510139,-0.965213,0.234282,0.950311,2.031695,-0.477376,-0.419648,-0.288142,0.424915,0.660217,0.542338,-0.086156,-0.740707,1.57574,-1.041349,-1.653764,0.878106,-0.007754,-0.930723,0.630346,-0.358872,0.312511,0.08199,0.813602,0.092532,1.04189,good
0.101383,0.363295,-1.864171,-1.273219,-0.524985,-0.411106,-1.140004,0.862901,1.826915,-0.127969,0.626681,-1.260177,1.708745,-1.442617,0.080131,-1.483098,-0.246597,1.323274,-1.059916,0.009255,1.492344,-0.108012,0.352418,-0.085809,-0.536206,-0.187721,-0.186954,0.221676,-1.219947,0.491516,-0.28816,-0.366405,0.468197,-1.138777,0.39589,0.116808,0.016323,0.104355,0.195668,0.689037,-1.082656,0.818297,good
-2.243085,1.191998,1.116587,2.622171,0.783259,-1.394862,0.814753,1.639382,0.720889,-0.205946,0.029212,1.710324,-1.200656,-0.460791,-1.189635,-0.018931,-0.20547,-1.386205,-0.035438,0.999386,-1.525128,-0.220664,0.073688,1.203418,-0.106024,-0.391368,-0.432526,0.339399,-0.263955,1.490249,1.145833,-0.273119,-1.264902,1.398552,-0.551631,-0.564841,-0.510366,0.397426,-1.900245,-0.183483,0.214622,1.517131,good
1.101109,-1.961405,0.129128,-1.891831,2.320076,-0.826515,0.787311,-2.35821,-2.92295,-0.838987,0.816939,-0.083517,-1.766446,0.266892,2.7903,-0.38056,0.591724,-0.544856,-1.61619,-0.813924,-0.246742,-1.278379,0.620772,1.331798,-0.125817,-1.289667,0.491729,0.712206,0.103296,0.072705,-1.338084,1.911436,-1.245821,-0.509853,1.662697,0.862161,-0.10775,-0.787885,0.131839,0.082401,0.115321,-0.682624,good
0.433661,0.826757,0.625104,-1.405162,0.832764,1.085642,-0.720093,-0.229292,0.635521,0.422434,2.133225,1.786368,-0.747787,1.888958,0.916017,-1.01193,-1.127979,-1.063144,-0.40939,-0.049326,0.393156,-0.515881,-1.792061,-0.883264,-1.83069,0.814353,-0.547262,0.333613,0.947896,-0.072242,0.764609,0.067297,-1.116125,-0.230605,-0.782094,-1.514785,-0.536754,-0.359631,-0.493699,0.51037,-0.77145,-0.461772,bad
-3.984765,-1.080121,0.062615,-0.042611,-0.680744,0.277633,2.647075,-0.105928,0.78551,1.363956,-2.328151,-1.573607,-0.591023,2.252664,2.400305,-1.052117,-0.804628,1.223069,-0.561819,-1.744566,-0.77604,0.629397,0.070218,0.326211,1.246201,-0.150881,-0.845342,0.922556,0.722794,1.211088,0.816872,-1.453732,0.307635,-0.170764,0.116994,-0.828412,-0.391841,-0.22464,1.172577,1.246881,-1.283691,0.450336,good
1.798642,-0.052965,2.445021,-2.540181,-3.550155,-0.499479,-0.023609,-0.862615,-1.629076,1.003447,-1.433706,-2.200893,-0.948877,0.655075,-0.138402,-1.300256,1.646644,-2.697843,-0.922742,2.666487,-0.601544,-2.23779,-0.53369,1.094927,0.8522,-1.014065,1.558864,-0.492988,-0.519721,0.83164,-2.4909,-1.931589,-0.628503,-1.602677,-0.982482,-0.684679,1.509559,-1.217763,0.545544,-0.053161,0.232975,-1.016849,bad
1.560665,0.202496,-1.352451,0.061694,-0.501368,-0.624338,-0.677294,-2.79816,0.041066,0.620534,-0.622395,-2.74441,0.988495,-0.994039,0.343374,0.386923,-0.679687,-0.118688,0.749532,-0.049072,-2.418365,-1.956641,0.758316,0.154763,-1.244305,-3.467537,-4.708825,1.921577,-1.284928,-1.850252,-4.757531,-0.792815,-2.260777,-0.194709,-0.814639,0.15636,-0.333164,2.172724,0.652991,1.2379,-0.213586,0.656268,good
1.975434,0.400075,-2.674365,-0.765334,-0.647022,-1.478089,-0.857596,-0.57442,-0.100786,1.550158,-0.446253,-1.633293,-0.534092,-2.557548,-0.797763,-0.173717,0.049443,0.733883,-0.640112,-2.422767,-0.291984,-1.132937,-1.08794,-1.664109,-0.054521,0.2449,-0.869195,-1.102007,1.543419,1.044344,0.761571,1.187734,0.713362,-0.942943,-2.049781,0.371334,1.554811,-0.846601,-1.181453,-0.265647,0.042985,-0.355594,good
-0.48304,0.8282,1.78773,-1.254958,0.970279,-0.398309,-1.891735,0.161477,3.895608,1.220575,-0.103482,0.569548,-1.368723,0.263287,-1.989345,-0.503678,-0.090808,-1.220048,1.80086,-0.346426,1.833996,2.233886,0.438975,-0.981262,2.545457,-0.065788,-1.255561,-0.113389,1.204604,-0.483686,-2.856885,2.157707,0.103147,-0.741272,2.628804,-1.213378,1.813151,0.45924,0.136783,0.837163,-0.996185,-0.684738,good
-0.420439,-0.895379,-2.047007,0.890575,0.094284,2.023346,0.835474,2.990567,0.908257,-0.611716,-0.433235,1.832331,2.822106,-0.362245,-0.801485,1.456982,0.978629,0.899858,-0.43182,-0.530367,0.572342,-1.139766,-2.270473,-2.583359,0.923824,-0.64498,0.865137,2.042151,-0.740749,-0.329944,-0.327634,-2.159436,-0.097106,-0.113057,0.847131,0.564184,-0.578179,-0.337355,0.569147,-0.468873,0.221732,0.50474,good
0.300397,0.837812,-0.07062,0.712103,2.637473,1.33579,-0.853016,0.020766,-2.012401,0.569754,-0.106901,1.135472,1.090856,-0.035861,1.37253,-1.248318,0.131566,0.711265,-0.62422,0.962123,0.310606,1.38454,0.129636,-0.145892,-0.940247,-0.798544,-0.407147,-1.330372,-0.271668,0.707806,-0.169132,0.981526,-0.520289,0.362365,-0.309594,0.1562,-0.440589,-0.05512,-0.356622,-0.642,-0.173748,-0.262653,good
