@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V

@attribute fixedacid numeric
@attribute volacid numeric
@attribute citricacid numeric
@attribute residualsugar numeric
@attribute chlorides numeric
@attribute freesulfur numeric
@attribute totalsulfur numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
7.7,0.26,0.31,1.3,0.043,47,155,0.9937,3.42,0.5,10.1,6
6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10,6
7.4,0.29,0.25,3.8,0.044,30,114,0.992,3.11,0.4,11,6
6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
6.4,0.16,0.25,1.4,0.057,21,125,0.99091,3.23,0.44,11.1,7
7.3,0.34,0.3,9.4,0.057,34,178,0.99554,3.15,0.44,10.4,6
6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6
7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,4
6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6
6.9,0.4,0.3,10.6,0.033,24,87,0.99265,3.15,0.45,12.8,6
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6
6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6,5
8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,6
6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6
6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,6
6.9,0.28,0.24,2.1,0.034,49,121,0.98882,2.98,0.43,13.2,7
8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6
7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,6
6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6
6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7
7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,5
7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
6.3,0.19,0.21,1.8,0.049,35,163,0.9924,3.31,0.5,10.3,6
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,11,7
6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5
6.2,0.25,0.48,10,0.044,78,240,0.99655,3.25,0.47,9.5,6
7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6
7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
7.4,0.3,0.22,1.4,0.046,16,135,0.9928,3.08,0.77,10.4,7
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
6.4,0.12,0.3,1.1,0.031,37,94,0.98986,3.01,0.56,11.7,6
6.8,0.23,0.31,2.8,0.047,40,122,0.99126,3.06,0.64,10.9,7
6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,5
7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5
5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5
5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6
5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,6
7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7
7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,7
7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,5
7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,6
6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6,7
6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,6
7.6,0.17,0.36,4.5,0.042,26,102,0.99427,3.09,0.47,9.5,5
5.9,0.2,0.4,1.3,0.047,23,92,0.99232,3.2,0.45,10,6
6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,7
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5
6.9,0.4,0.43,6.2,0.065,42,178,0.99552,3.11,0.53,9.4,5
7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,8
6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
7,0.23,0.36,7.1,0.028,31,104,0.9922,3.35,0.47,12.1,8
7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6
6.7,0.45,0.3,5.3,0.036,27,165,0.99122,3.12,0.46,12.2,6
8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6
5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,6
6.2,0.76,0.01,3.2,0.041,18,120,0.99026,3.2,0.94,13.7,7
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.633333,6
6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,6
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6
5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6
6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2,5
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5
7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6
6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6
8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,5
6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,8
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5
6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5
7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,7
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5
6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10,5
6.6,0.36,0.47,1.4,0.145,26,124,0.99274,3.09,0.56,10.1,6
6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,6
6,0.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,6
9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,7
7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7
6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6
6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11,7
6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,6
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5
6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6
6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,7
9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,5
6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,5
8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05,7
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6
6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7
5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5
5.9,0.42,0.36,2.4,0.034,19,77,0.99184,3.25,0.48,10.9,5
5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
6.5,0.36,0.38,10.2,0.028,20,82,0.99274,3.1,0.43,12.1,7
7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,5
6.4,0.35,0.21,2.1,0.051,46,171,0.9932,3.16,0.5,9.5,5
5.9,0.54,0,0.8,0.032,12,82,0.99286,3.25,0.36,8.8,5
5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6
7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,6
7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,5
6.4,0.4,0.25,4.2,0.032,15,91,0.98988,3.26,0.52,13.1,6
7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,7
8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8
8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11,4
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6
6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5,6
6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5
6.7,0.31,0.3,2.1,0.038,18,130,0.9928,3.36,0.63,10.6,6
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5
5.7,0.23,0.25,7.95,0.042,16,108,0.99486,3.44,0.61,10.3,6
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,5
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
6.2,0.25,0.39,1.3,0.051,42,135,0.9906,3.23,0.4,11.1,6
6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5
6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11,5
5.6,0.42,0.34,2.4,0.022,34,97,0.98915,3.22,0.38,12.8,7
6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7
6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6
11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7,3
6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,5
6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6
6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,6
7.9,0.37,0.31,2.85,0.037,5,24,0.9911,3.19,0.36,11.9,6
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
6.8,0.35,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,5
7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5
6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6
5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5
5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,6
6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5
6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6
7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,6
5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,7
6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,6
6.1,0.18,0.38,2.3,0.033,28,111,0.98962,3.16,0.49,12.4,6
7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3,0.35,9.2,5
7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,7
6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6
7.5,0.26,0.31,1.6,0.032,36,109,0.99044,2.97,0.43,11.9,6
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,6
6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5,5
6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,6
9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5
5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5
7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5
6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6
6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,6
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,6
6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5
8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,4
6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5
6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4
6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4
7.8,0.17,0.23,1.7,0.029,39,128,0.99272,3.37,0.41,10.7,7
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5
7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,6
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6
7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5
6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,5
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,5
7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,7
9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,4
6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,7
8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,6
8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10,6
7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5
6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6
8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,6
3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8
7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6
6,0.26,0.32,3.8,0.029,48,180,0.99011,3.15,0.34,12,6
6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5
7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
6.3,0.3,0.28,5,0.042,36,168,0.99505,3.22,0.69,9.5,6
5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,5
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
5.7,0.33,0.32,1.4,0.043,28,93,0.9897,3.31,0.5,12.3,6
6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,7
7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5
7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,6
6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,8
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
7,0.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4,8
7.4,0.36,0.32,1.9,0.036,27,119,0.99196,3.15,0.49,11.2,6
6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5
6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,6
6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6
7,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1,6
7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,7
5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6
5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,5
7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5
7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,7
6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,5
6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5
6.8,0.27,0.28,13.3,0.076,50,163,0.9979,3.03,0.38,8.6,6
6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5
6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,5
6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1,6
8.2,0.22,0.3,1.8,0.047,47,185,0.9933,3.13,0.5,10.2,6
5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6
8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,6
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,6
8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,4
6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7
